Pcp_File_Version=1
*** BLOCK H: NODAL INFORMATION ****************************
   General Mesh 
         1
     NumNP     NumEl
      8250     29738
       n             x             y             z
       1             0             0             0
       2       49.9601             0       1.99787
       3       49.8802             0       3.99627
       4       27.3981             0       3.09723
       5       26.6789             0       21.0829
       6       21.6829             0       20.8831
       7       22.4021             0       2.89744
       8    -0.0799148             0        1.9984
       9     -0.799148             0        19.984
      10       49.1609             0       21.9819
      11     -0.839105             0       20.9832
      12        49.121             0       22.9811
      13             0            20             0
      14       49.9601            20       1.99787
      15       49.8802            20       3.99627
      16       27.3981            20       3.09723
      17       26.6789            20       21.0829
      18       21.6829            20       20.8831
      19       22.4021            20       2.89744
      20    -0.0799148            20        1.9984
      21     -0.799148            20        19.984
      22       49.1609            20       21.9819
      23     -0.839105            20       20.9832
      24        49.121            20       22.9811
      25       47.1226             0       22.9012
      26       47.1226            20       22.9012
      27       25.3732             0       12.0234
      28       27.0385             0         12.09
      29       23.7678             0        10.458
      30       22.1024             0       10.3915
      31       25.4331             0       10.5246
      32       27.0984             0       10.5912
      33       23.8277             0       8.95925
      34       22.1624             0       8.89265
      35        25.493             0       9.02584
      36       27.1584             0       9.09244
      37       23.8876             0       7.46045
      38       22.2223             0       7.39385
      39        25.553             0       7.52704
      40       27.2183             0       7.59364
      41       23.9476             0       5.96164
      42       22.2822             0       5.89505
      43       25.6129             0       6.02824
      44       27.2782             0       6.09483
      45       24.0075             0       4.46284
      46       22.3422             0       4.39625
      47       25.6729             0       4.52944
      48       27.3382             0       4.59603
      49       24.0675             0       2.96404
      50       25.0735             0       19.5175
      51       25.7328             0       3.03064
      52       25.0136             0       21.0163
      53       26.7388             0        19.584
      54       1.41889             0       2.05834
      55       1.51394             0     0.0605415
      56       23.3482             0       20.9497
      57       2.91769             0       2.11828
      58       3.02788             0      0.121083
      59       4.41649             0       2.17821
      60       4.54182             0      0.181625
      61       5.91529             0       2.23815
      62       6.05577             0      0.242166
      63        7.4141             0       2.29808
      64       7.56971             0      0.302708
      65        8.9129             0       2.35802
      66       9.08365             0      0.363249
      67       10.4117             0       2.41796
      68       10.5976             0      0.423791
      69       11.9105             0       2.47789
      70       12.1115             0      0.484332
      71       13.4093             0       2.53783
      72       13.6255             0      0.544874
      73       14.9081             0       2.59776
      74       15.1394             0      0.605415
      75       16.4069             0        2.6577
      76       16.6534             0      0.665957
      77       17.9057             0       2.71764
      78       18.1673             0      0.726498
      79       19.4045             0       2.77757
      80       19.6812             0       0.78704
      81       20.9033             0       2.83751
      82       21.1952             0      0.847581
      83       22.7091             0      0.908123
      84       24.2231             0      0.968664
      85        25.737             0       1.02921
      86       27.2509             0       1.08975
      87       28.8969             0       3.15717
      88       28.7649             0       1.15029
      89       30.3957             0        3.2171
      90       30.2788             0       1.21083
      91       31.8945             0       3.27704
      92       31.7928             0       1.27137
      93       33.3933             0       3.33698
      94       33.3067             0       1.33191
      95       34.8921             0       3.39691
      96       34.8207             0       1.39245
      97       36.3909             0       3.45685
      98       36.3346             0         1.453
      99       37.8897             0       3.51678
     100       37.8485             0       1.51354
     101       39.3885             0       3.57672
     102       39.3625             0       1.57408
     103       40.8873             0       3.63666
     104       40.8764             0       1.63462
     105       42.3861             0       3.69659
     106       42.3904             0       1.69516
     107       43.8849             0       3.75653
     108       43.9043             0        1.7557
     109       45.3837             0       3.81646
     110       45.4182             0       1.81625
     111       46.8825             0        3.8764
     112       46.9322             0       1.87679
     113       48.3814             0       3.93634
     114       48.4461             0       1.93733
     115       21.7428             0       19.3843
     116       23.4082             0       19.4509
     117       23.4681             0       17.9521
     118      0.699654             0        20.044
     119      0.659697             0       21.0432
     120       25.1334             0       18.0187
     121       2.19846             0       20.1039
     122        2.1585             0       21.1031
     123       3.69726             0       20.1638
     124        3.6573             0        21.163
     125       5.19606             0       20.2238
     126        5.1561             0        21.223
     127       6.69486             0       20.2837
     128        6.6549             0       21.2829
     129       8.19366             0       20.3436
     130       8.15371             0       21.3428
     131       9.69246             0       20.4036
     132       9.65251             0       21.4028
     133       11.1913             0       20.4635
     134       11.1513             0       21.4627
     135       12.6901             0       20.5235
     136       12.6501             0       21.5227
     137       14.1889             0       20.5834
     138       14.1489             0       21.5826
     139       15.6877             0       20.6433
     140       15.6477             0       21.6425
     141       17.1865             0       20.7033
     142       17.1465             0       21.7025
     143       18.6853             0       20.7632
     144       18.6453             0       21.7624
     145       20.1841             0       20.8231
     146       20.1441             0       21.8223
     147       21.6429             0       21.8823
     148       23.1417             0       21.9422
     149       24.6405             0       22.0021
     150       26.1393             0       22.0621
     151       28.1777             0       21.1428
     152       27.6381             0        22.122
     153       29.6765             0       21.2027
     154       29.1369             0       22.1819
     155       31.1753             0       21.2627
     156       30.6357             0       22.2419
     157       32.6741             0       21.3226
     158       32.1345             0       22.3018
     159       34.1729             0       21.3825
     160       33.6333             0       22.3618
     161       35.6717             0       21.4425
     162       35.1321             0       22.4217
     163       37.1705             0       21.5024
     164       36.6309             0       22.4816
     165       38.6693             0       21.5623
     166       38.1297             0       22.5416
     167       40.1681             0       21.6223
     168       39.6286             0       22.6015
     169       41.6669             0       21.6822
     170       41.1274             0       22.6614
     171       43.1657             0       21.7422
     172       42.6262             0       22.7214
     173       44.6645             0       21.8021
     174        44.125             0       22.7813
     175       46.1633             0        21.862
     176       45.6238             0       22.8412
     177       47.6621             0        21.922
     178       23.7078             0       11.9569
     179       21.8028             0       17.8855
     180       26.7988             0       18.0852
     181       0.75959             0       18.5452
     182     -0.739212             0       18.4852
     183       2.25839             0       18.6051
     184       3.75719             0        18.665
     185         5.256             0        18.725
     186        6.7548             0       18.7849
     187        8.2536             0       18.8448
     188        9.7524             0       18.9048
     189       11.2512             0       18.9647
     190         12.75             0       19.0247
     191       14.2488             0       19.0846
     192       15.7476             0       19.1445
     193       17.2464             0       19.2045
     194       18.7452             0       19.2644
     195        20.244             0       19.3243
     196      0.819526             0       17.0464
     197     -0.679276             0       16.9864
     198       2.31833             0       17.1063
     199       3.81713             0       17.1662
     200       5.31593             0       17.2262
     201       6.81473             0       17.2861
     202       8.31354             0        17.346
     203       9.81234             0        17.406
     204       11.3111             0       17.4659
     205       12.8099             0       17.5259
     206       14.3087             0       17.5858
     207       15.8075             0       17.6457
     208       17.3063             0       17.7057
     209       18.8051             0       17.7656
     210        20.304             0       17.8255
     211      0.879462             0       15.5476
     212      -0.61934             0       15.4876
     213       2.37826             0       15.6075
     214       3.87707             0       15.6674
     215       5.37587             0       15.7274
     216       6.87467             0       15.7873
     217       8.37347             0       15.8472
     218       9.87227             0       15.9072
     219       11.3711             0       15.9671
     220       12.8699             0        16.027
     221       14.3687             0        16.087
     222       15.8675             0       16.1469
     223       17.3663             0       16.2069
     224       18.8651             0       16.2668
     225       20.3639             0       16.3267
     226      0.939398             0       14.0488
     227     -0.559404             0       13.9888
     228        2.4382             0       14.1087
     229         3.937             0       14.1686
     230        5.4358             0       14.2286
     231       6.93461             0       14.2885
     232       8.43341             0       14.3484
     233       9.93221             0       14.4084
     234        11.431             0       14.4683
     235       12.9298             0       14.5282
     236       14.4286             0       14.5882
     237       15.9274             0       14.6481
     238       17.4262             0       14.7081
     239        18.925             0        14.768
     240       20.4238             0       14.8279
     241      0.999335             0         12.55
     242     -0.499468             0         12.49
     243       2.49814             0       12.6099
     244       3.99694             0       12.6698
     245       5.49574             0       12.7298
     246       6.99454             0       12.7897
     247       8.49334             0       12.8496
     248       9.99215             0       12.9096
     249       11.4909             0       12.9695
     250       12.9898             0       13.0294
     251       14.4886             0       13.0894
     252       15.9874             0       13.1493
     253       17.4862             0       13.2093
     254        18.985             0       13.2692
     255       20.4838             0       13.3291
     256       1.05927             0       11.0512
     257     -0.439531             0       10.9912
     258       2.55807             0       11.1111
     259       4.05688             0        11.171
     260       5.55568             0        11.231
     261       7.05448             0       11.2909
     262       8.55328             0       11.3508
     263       10.0521             0       11.4108
     264       11.5509             0       11.4707
     265       13.0497             0       11.5306
     266       14.5485             0       11.5906
     267       16.0473             0       11.6505
     268       17.5461             0       11.7104
     269       19.0449             0       11.7704
     270       20.5437             0       11.8303
     271       1.11921             0       9.55235
     272     -0.379595             0       9.49241
     273       2.61801             0       9.61229
     274       4.11681             0       9.67222
     275       5.61561             0       9.73216
     276       7.11442             0       9.79209
     277       8.61322             0       9.85203
     278        10.112             0       9.91197
     279       11.6108             0        9.9719
     280       13.1096             0       10.0318
     281       14.6084             0       10.0918
     282       16.1072             0       10.1517
     283        17.606             0       10.2116
     284       19.1048             0       10.2716
     285       20.6036             0       10.3315
     286       1.17914             0       8.05355
     287     -0.319659             0       7.99361
     288       2.67795             0       8.11348
     289       4.17675             0       8.17342
     290       5.67555             0       8.23336
     291       7.17435             0       8.29329
     292       8.67315             0       8.35323
     293        10.172             0       8.41316
     294       11.6708             0        8.4731
     295       13.1696             0       8.53304
     296       14.6684             0       8.59297
     297       16.1672             0       8.65291
     298        17.666             0       8.71284
     299       19.1648             0       8.77278
     300       20.6636             0       8.83272
     301       1.23908             0       6.55475
     302     -0.259723             0       6.49481
     303       2.73788             0       6.61468
     304       4.23668             0       6.67462
     305       5.73549             0       6.73455
     306       7.23429             0       6.79449
     307       8.73309             0       6.85443
     308       10.2319             0       6.91436
     309       11.7307             0        6.9743
     310       13.2295             0       7.03423
     311       14.7283             0       7.09417
     312       16.2271             0       7.15411
     313       17.7259             0       7.21404
     314       19.2247             0       7.27398
     315       20.7235             0       7.33391
     316       1.29902             0       5.05594
     317     -0.199787             0       4.99601
     318       2.79782             0       5.11588
     319       4.29662             0       5.17582
     320       5.79542             0       5.23575
     321       7.29422             0       5.29569
     322       8.79303             0       5.35562
     323       10.2918             0       5.41556
     324       11.7906             0        5.4755
     325       13.2894             0       5.53543
     326       14.7882             0       5.59537
     327        16.287             0        5.6553
     328       17.7858             0       5.71524
     329       19.2846             0       5.77518
     330       20.7834             0       5.83511
     331       1.35895             0       3.55714
     332     -0.139851             0       3.49721
     333       2.85775             0       3.61708
     334       4.35656             0       3.67701
     335       5.85536             0       3.73695
     336       7.35416             0       3.79689
     337       8.85296             0       3.85682
     338       10.3518             0       3.91676
     339       11.8506             0       3.97669
     340       13.3494             0       4.03663
     341       14.8482             0       4.09657
     342        16.347             0        4.1565
     343       17.8458             0       4.21644
     344       19.3446             0       4.27637
