Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,21000.0,3798.8,0.0,-189.99,,
5.0,21000.0,3998.8,39.996,-123.71,0.030824,0.008
15.0,21000.0,4398.8,39.998,-112.81,-0.00018239,0.0
30.0,21000.0,4998.8,40.001,-98.652,-0.0046139,0.0
60.0,21000.0,6198.7,39.999,-67.802,-0.099587,0.004
120.0,21000.0,6191.2,-0.24252,-45.578,-0.22575,0.009
180.0,21000.0,6178.2,-0.18336,-37.625,-0.19091,0.008
240.0,21000.0,6169.4,-0.12746,-32.564,-0.1791,0.007
500.0,21000.0,6151.4,-0.041062,-23.068,-0.14819,0.006
720.0,21000.0,6144.9,-0.023799,-20.772,-0.14151,0.006
1440.0,21000.0,6134.4,-0.011621,-19.604,-0.11408,0.005
