 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -21.9        0.0      -21.0        0.0        0.0        0.0      -64.2        0.0        0.0        0.0
         0.0020      -21.9        0.0      -20.2        0.0        0.0        0.0      -63.8        0.0        0.0        0.0
         0.0033      -21.9        0.0      -19.2        0.0        0.0        0.0      -63.3        0.0        0.0        0.0
         0.0050      -21.9        0.0      -18.2        0.0        0.0        0.0      -62.7        0.0        0.0        0.0
         0.0072      -21.9        0.0      -17.1        0.0        0.0        0.0      -62.0        0.0        0.0        0.0
         0.0100      -21.9        0.0      -15.8        0.0        0.0        0.0      -61.1        0.0        0.0        0.0
         0.0138      -21.9        0.0      -14.4        0.0        0.0        0.0      -60.1        0.0        0.0        0.0
         0.0186      -21.9        0.0      -13.0        0.0        0.0        0.0      -59.0        0.0        0.0        0.0
         0.0249      -21.9        0.0      -11.6        0.0        0.0        0.0      -57.6        0.0        0.0        0.0
         0.0311      -21.9        0.0      -10.5        0.0        0.0        0.0      -56.4        0.0        0.0        0.0
         0.0374      -21.9        0.0       -9.6        0.0        0.0        0.0      -55.4        0.0        0.0        0.0
         0.0437      -21.9        0.0       -8.9        0.0        0.0        0.0      -54.5        0.0        0.0        0.0
         0.0518      -21.9        0.0       -8.1        0.0        0.0        0.0      -53.4        0.0        0.0        0.0
         0.0600      -21.9        0.0       -7.5        0.0        0.0        0.0      -52.5        0.0        0.0        0.0
         0.0682      -21.9        0.0       -7.1        0.0        0.0        0.0      -51.7        0.0        0.0        0.0
         0.0763      -21.9        0.0       -6.7        0.0        0.0        0.0      -50.9        0.0        0.0        0.0
         0.0845      -21.9        0.0       -6.4        0.0        0.0        0.0      -50.3        0.0        0.0        0.0
         0.0926      -21.9        0.0       -6.2        0.0        0.0        0.0      -49.6        0.0        0.0        0.0
         0.1008      -21.9        0.0       -6.0        0.0        0.0        0.0      -49.1        0.0        0.0        0.0
         0.1089      -21.9        0.0       -5.9        0.0        0.0        0.0      -48.6        0.0        0.0        0.0
         0.1171      -21.9        0.0       -5.7        0.0        0.0        0.0      -48.1        0.0        0.0        0.0
         0.1253      -21.9        0.0       -5.6        0.0        0.0        0.0      -47.6        0.0        0.0        0.0
         0.1334      -21.9        0.0       -5.5        0.0        0.0        0.0      -47.2        0.0        0.0        0.0
         0.1416      -21.9        0.0       -5.4        0.0        0.0        0.0      -46.9        0.0        0.0        0.0
         0.1497      -21.9        0.0       -5.4        0.0        0.0        0.0      -46.5        0.0        0.0        0.0
         0.1603      -21.9        0.0       -5.3        0.0        0.0        0.0      -46.1        0.0        0.0        0.0
         0.1709      -21.8        0.0       -5.2        0.0        0.0        0.0      -45.7        0.0        0.0        0.0
         0.1815      -21.8        0.0       -5.1        0.0        0.0        0.0      -45.3        0.0        0.0        0.0
         0.1921      -21.8        0.0       -5.1        0.0        0.0        0.0      -45.0        0.0        0.0        0.0
         0.2027      -21.8        0.0       -5.0        0.0        0.0        0.0      -44.7        0.0        0.0        0.0
         0.2134      -21.8        0.0       -5.0        0.0        0.0        0.0      -44.4        0.0        0.0        0.0
         0.2240      -21.8        0.0       -4.9        0.0        0.0        0.0      -44.1        0.0        0.0        0.0
         0.2346      -21.8        0.0       -4.9        0.0        0.0        0.0      -43.8        0.0        0.0        0.0
         0.2452      -21.8        0.0       -4.8        0.0        0.0        0.0      -43.6        0.0        0.0        0.0
         0.2558      -21.8        0.0       -4.8        0.0        0.0        0.0      -43.4        0.0        0.0        0.0
         0.2664      -21.8        0.0       -4.8        0.0        0.0        0.0      -43.2        0.0        0.0        0.0
         0.2770      -21.8        0.0       -4.7        0.0        0.0        0.0      -43.0        0.0        0.0        0.0
         0.2908      -21.8        0.0       -4.7        0.0        0.0        0.0      -42.7        0.0        0.0        0.0
         0.3046      -21.8        0.0       -4.7        0.0        0.0        0.0      -42.5        0.0        0.0        0.0
         0.3183      -21.8        0.0       -4.6        0.0        0.0        0.0      -42.3        0.0        0.0        0.0
         0.3321      -21.8        0.0       -4.6        0.0        0.0        0.0      -42.1        0.0        0.0        0.0
         0.3459      -21.8        0.0       -4.5        0.0        0.0        0.0      -41.9        0.0        0.0        0.0
         0.3597      -21.9        0.0       -4.5        0.0        0.0        0.0      -41.8        0.0        0.0        0.0
         0.3735      -21.9        0.0       -4.5        0.0        0.0        0.0      -41.6        0.0        0.0        0.0
         0.3873      -21.9        0.0       -4.4        0.0        0.0        0.0      -41.4        0.0        0.0        0.0
         0.4011      -21.9        0.0       -4.4        0.0        0.0        0.0      -41.3        0.0        0.0        0.0
         0.4148      -21.9        0.0       -4.4        0.0        0.0        0.0      -41.2        0.0        0.0        0.0
         0.4286      -21.9        0.0       -4.4        0.0        0.0        0.0      -41.0        0.0        0.0        0.0
         0.4424      -21.9        0.0       -4.3        0.0        0.0        0.0      -40.9        0.0        0.0        0.0
         0.4562      -21.9        0.0       -4.3        0.0        0.0        0.0      -40.8        0.0        0.0        0.0
         0.4700      -21.9        0.0       -4.3        0.0        0.0        0.0      -40.7        0.0        0.0        0.0
         0.4838      -21.9        0.0       -4.2        0.0        0.0        0.0      -40.6        0.0        0.0        0.0
         0.4976      -21.9        0.0       -4.2        0.0        0.0        0.0      -40.5        0.0        0.0        0.0
         0.5113      -21.9        0.0       -4.2        0.0        0.0        0.0      -40.4        0.0        0.0        0.0
         0.5251      -21.9        0.0       -4.2        0.0        0.0        0.0      -40.3        0.0        0.0        0.0
         0.5389      -22.0        0.0       -4.1        0.0        0.0        0.0      -40.2        0.0        0.0        0.0
         0.5527      -22.0        0.0       -4.1        0.0        0.0        0.0      -40.2        0.0        0.0        0.0
         0.5706      -22.0        0.0       -4.1        0.0        0.0        0.0      -40.1        0.0        0.0        0.0
         0.5885      -22.0        0.0       -4.1        0.0        0.0        0.0      -40.0        0.0        0.0        0.0
         0.6065      -22.0        0.0       -4.0        0.0        0.0        0.0      -39.9        0.0        0.0        0.0
         0.6244      -22.0        0.0       -4.0        0.0        0.0        0.0      -39.8        0.0        0.0        0.0
         0.6423      -22.0        0.0       -4.0        0.0        0.0        0.0      -39.7        0.0        0.0        0.0
         0.6602      -22.0        0.0       -3.9        0.0        0.0        0.0      -39.7        0.0        0.0        0.0
         0.6781      -22.0        0.0       -3.9        0.0        0.0        0.0      -39.6        0.0        0.0        0.0
         0.6961      -22.0        0.0       -3.9        0.0        0.0        0.0      -39.5        0.0        0.0        0.0
         0.7140      -22.0        0.0       -3.9        0.0        0.0        0.0      -39.5        0.0        0.0        0.0
         0.7319      -22.0        0.0       -3.8        0.0        0.0        0.0      -39.4        0.0        0.0        0.0
         0.7498      -22.0        0.0       -3.8        0.0        0.0        0.0      -39.3        0.0        0.0        0.0
         0.7678      -22.0        0.0       -3.8        0.0        0.0        0.0      -39.3        0.0        0.0        0.0
         0.7857      -22.1        0.0       -3.8        0.0        0.0        0.0      -39.2        0.0        0.0        0.0
         0.8036      -22.1        0.0       -3.7        0.0        0.0        0.0      -39.2        0.0        0.0        0.0
         0.8215      -22.1        0.0       -3.7        0.0        0.0        0.0      -39.1        0.0        0.0        0.0
