Time_T,CumQAP_L3,CumQRP_L3,CumQA_L3,CumQR_L3,CumQ3_L3,CumQ1_L3,CumQS_L3,CumQ5_L3,CumQ6_L3,CumQ7_L3,CumQ8_L3,CumQ9_L3,CRunOff_L3,cEvapor_L3,cInfiltr_L3,hAtm_L,hRoot_L,hKode3_L,hKode1_L,hSeep_L,hKode5_L,hKode6_L,hKode7_L,hKode8_L,hKode9_L,rAtm_LpT,rRoot_LpT,vAtm_LpT,vRoot_LpT,vKode3_L3pT,vKode1_L3pT,vSeep_L3pT,vKode5_L3pT,vKode6_L3pT,vKode7_L3pT,vKode8_L3pT,vKode9_L3pT,RunOff_LpT,Evapor_LpT,Infiltr_LpT,SnowLayer_L,dt,Iter,ItCum
0.001,0.0,0.0,0.0,0.0,-0.0675,0.0,0.0,0.0,0.000188,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-14.3,0.0,0.0,0.0,-14.5,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2,2
0.002,0.0,0.0,0.0,0.0,-0.135,0.0,0.0,0.0,0.000371,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-14.1,0.0,0.0,0.0,-14.6,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2,4
0.0033,0.0,0.0,0.0,0.0,-0.223,0.0,0.0,0.0,0.000601,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-13.9,0.0,0.0,0.0,-14.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,2,6
0.005,0.0,0.0,0.0,0.0,-0.337,0.0,0.0,0.0,0.000889,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-13.6,0.0,0.0,0.0,-14.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016899999999999999,3,9
0.0072,0.0,0.0,0.0,0.0,-0.485,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-13.2,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021969999999999997,3,12
0.01,0.0,0.0,0.0,0.0,-0.6779999999999999,0.0,0.0,0.0,0.0016899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,-12.8,0.0,0.0,0.0,-15.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028561,3,15
0.0138,0.0,0.0,0.0,0.0,-0.929,0.0,0.0,0.0,0.0022199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,-12.4,0.0,0.0,0.0,-15.3,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037129,3,18
0.0186,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.00288,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,-11.8,0.0,0.0,0.0,-15.5,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048268,3,21
0.0249,0.0,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,0.00366,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,-11.1,0.0,0.0,0.0,-15.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062749,3,24
0.033,0.0,0.0,0.0,0.0,-2.23,0.0,0.0,0.0,0.0045899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,-10.4,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008157300000000001,3,27
