Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5670.0,0.0,-1418.7,,
5.0,37804.0,6007.6,67.491,-453.06,0.37896,0.035
15.0,37804.0,6682.5,67.495,-359.1,0.31616,0.018
30.0,37804.0,7695.0,67.499,-235.6,0.32507,0.012
60.0,37804.0,9675.2,52.144,-62.147,0.26732,0.006
120.0,37804.0,9620.1,-0.011422,-21.629,-0.13709,0.003
180.0,37804.0,9619.9,3.6987e-05,-20.775,-0.025206,0.001
240.0,37804.0,9619.8,-0.00036894,-21.236,0.057672,0.001
500.0,37804.0,9619.7,-0.00061567,-23.247,0.31263,0.007
720.0,37804.0,9619.6,-0.00064152,-24.163,0.33457,0.007
1440.0,37804.0,9619.3,-0.00028805,-25.248,0.3768,0.008
2160.0,37804.0,9619.9,0.00043904,-25.465,1.2373,0.026
2880.0,37804.0,9619.8,-0.00025167,-25.52,1.3599,0.029
