

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    5         5
      2  0.20000001E-02  0.10000E-02    4         9
      3  0.30000001E-02  0.10000E-02    3        12
      4  0.43000001E-02  0.13000E-02    3        15
      5  0.59900001E-02  0.16900E-02    3        18
      6  0.81870001E-02  0.21970E-02    3        21
      7  0.11043100E-01  0.28561E-02    3        24
      8  0.14756029E-01  0.37129E-02    3        27
      9  0.19582838E-01  0.48268E-02    3        30
     10  0.25857688E-01  0.62749E-02    3        33
     11  0.34014994E-01  0.81573E-02    3        36
     12  0.44619491E-01  0.10604E-01    3        39
     13  0.58405336E-01  0.13786E-01    4        43
     14  0.72191182E-01  0.13786E-01    4        47
     15  0.85977028E-01  0.13786E-01    3        50
     16  0.10389863E+00  0.17922E-01    4        54
     17  0.12182022E+00  0.17922E-01    4        58
     18  0.13974182E+00  0.17922E-01    4        62
     19  0.15766342E+00  0.17922E-01    4        66
     20  0.17558502E+00  0.17922E-01    3        69
     21  0.19888310E+00  0.23298E-01    4        73
     22  0.22218118E+00  0.23298E-01    4        77
     23  0.24547925E+00  0.23298E-01    4        81
     24  0.26877733E+00  0.23298E-01    4        85
     25  0.29207541E+00  0.23298E-01    4        89
     26  0.31537348E+00  0.23298E-01    4        93
     27  0.33867156E+00  0.23298E-01    4        97
     28  0.36196964E+00  0.23298E-01    4       101
     29  0.38526772E+00  0.23298E-01    4       105
     30  0.40856579E+00  0.23298E-01    4       109
     31  0.43186387E+00  0.23298E-01    4       113
     32  0.45516195E+00  0.23298E-01    4       117
     33  0.47846003E+00  0.23298E-01    4       121
     34  0.50175810E+00  0.23298E-01    3       124
     35  0.53204560E+00  0.30287E-01    4       128
     36  0.56233310E+00  0.30287E-01    4       132
     37  0.59262060E+00  0.30287E-01    4       136
     38  0.62290810E+00  0.30287E-01    4       140
     39  0.65319560E+00  0.30287E-01    4       144
     40  0.68348309E+00  0.30287E-01    4       148
     41  0.71377059E+00  0.30287E-01    4       152
     42  0.74405809E+00  0.30287E-01    4       156
     43  0.77434559E+00  0.30287E-01    4       160
     44  0.80463309E+00  0.30287E-01    4       164
     45  0.83492059E+00  0.30287E-01    4       168
     46  0.86520809E+00  0.30287E-01    4       172
     47  0.89549558E+00  0.30287E-01    4       176
     48  0.92578308E+00  0.30287E-01    4       180
     49  0.95607058E+00  0.30287E-01    4       184
     50  0.98635808E+00  0.30287E-01    4       188
     51  0.10166456E+01  0.30287E-01    3       191
     52  0.10560193E+01  0.39374E-01    4       195
     53  0.10953931E+01  0.39374E-01    4       199
     54  0.11347668E+01  0.39374E-01    4       203
     55  0.11741406E+01  0.39374E-01    4       207
     56  0.12135143E+01  0.39374E-01    4       211
     57  0.12528881E+01  0.39374E-01    4       215
     58  0.12922618E+01  0.39374E-01    4       219
     59  0.13316356E+01  0.39374E-01    4       223
     60  0.13710093E+01  0.39374E-01    4       227
     61  0.14103831E+01  0.39374E-01    3       230
     62  0.14615689E+01  0.51186E-01    4       234
     63  0.15127548E+01  0.51186E-01    4       238
     64  0.15639407E+01  0.51186E-01    4       242
     65  0.16151265E+01  0.51186E-01    4       246
     66  0.16663124E+01  0.51186E-01    4       250
     67  0.17174983E+01  0.51186E-01    4       254
     68  0.17686841E+01  0.51186E-01    4       258
     69  0.18198700E+01  0.51186E-01    4       262
     70  0.18710559E+01  0.51186E-01    3       265
     71  0.19375975E+01  0.66542E-01    4       269
     72  0.20041391E+01  0.66542E-01    4       273
     73  0.20706808E+01  0.66542E-01    4       277
     74  0.21372224E+01  0.66542E-01    4       281
     75  0.22037640E+01  0.66542E-01    4       285
     76  0.22703056E+01  0.66542E-01    4       289
     77  0.23368473E+01  0.66542E-01    4       293
     78  0.24033889E+01  0.66542E-01    4       297
     79  0.24699305E+01  0.66542E-01    3       300
     80  0.25564346E+01  0.86504E-01    4       304
     81  0.26429387E+01  0.86504E-01    4       308
     82  0.27294428E+01  0.86504E-01    4       312
     83  0.28159470E+01  0.86504E-01    4       316
     84  0.29024511E+01  0.86504E-01    4       320
     85  0.29889552E+01  0.86504E-01    4       324
     86  0.30754593E+01  0.86504E-01    4       328
     87  0.31619634E+01  0.86504E-01    4       332
     88  0.32484675E+01  0.86504E-01    3       335
     89  0.33609228E+01  0.11246E+00    4       339
     90  0.34733782E+01  0.11246E+00    4       343
     91  0.35858335E+01  0.11246E+00    4       347
     92  0.36982889E+01  0.11246E+00    4       351
     93  0.38107442E+01  0.11246E+00    4       355
     94  0.39231995E+01  0.11246E+00    4       359
     95  0.40308796E+01  0.10768E+00    4       363
     96  0.41385596E+01  0.10768E+00    4       367
     97  0.42462397E+01  0.10768E+00    4       371
     98  0.43539197E+01  0.10768E+00    4       375
     99  0.44615998E+01  0.10768E+00    4       379
    100  0.45692798E+01  0.10768E+00    4       383
    101  0.46769599E+01  0.10768E+00    4       387
    102  0.47846399E+01  0.10768E+00    4       391
    103  0.48923200E+01  0.10768E+00    4       395
    104  0.50000000E+01  0.10768E+00    4       399
    105  0.51124553E+01  0.11246E+00    4       403
    106  0.52249107E+01  0.11246E+00    4       407
    107  0.53373660E+01  0.11246E+00    4       411
    108  0.54498214E+01  0.11246E+00    4       415
    109  0.55622767E+01  0.11246E+00    4       419
    110  0.56747320E+01  0.11246E+00    4       423
    111  0.57871874E+01  0.11246E+00    4       427
    112  0.58996427E+01  0.11246E+00    4       431
    113  0.60120980E+01  0.11246E+00    3       434
    114  0.61582900E+01  0.14619E+00    4       438
    115  0.63044819E+01  0.14619E+00    4       442
    116  0.64506739E+01  0.14619E+00    4       446
    117  0.65968658E+01  0.14619E+00    4       450
    118  0.67430577E+01  0.14619E+00    4       454
    119  0.68892497E+01  0.14619E+00    4       458
    120  0.70354416E+01  0.14619E+00    4       462
    121  0.71816336E+01  0.14619E+00    4       466
    122  0.73278255E+01  0.14619E+00    4       470
    123  0.74740174E+01  0.14619E+00    4       474
    124  0.76202094E+01  0.14619E+00    4       478
    125  0.77664013E+01  0.14619E+00    4       482
    126  0.79125933E+01  0.14619E+00    4       486
    127  0.80587852E+01  0.14619E+00    4       490
    128  0.82049771E+01  0.14619E+00    4       494
    129  0.83511691E+01  0.14619E+00    4       498
    130  0.84973610E+01  0.14619E+00    4       502
    131  0.86435530E+01  0.14619E+00    4       506
    132  0.87897449E+01  0.14619E+00    4       510
    133  0.89359368E+01  0.14619E+00    4       514
    134  0.90821288E+01  0.14619E+00    4       518
    135  0.92283207E+01  0.14619E+00    4       522
    136  0.93745127E+01  0.14619E+00    4       526
    137  0.95207046E+01  0.14619E+00    4       530
    138  0.96668965E+01  0.14619E+00    4       534
    139  0.98130885E+01  0.14619E+00    3       537
    140  0.10003138E+02  0.19005E+00    4       541
    141  0.10193188E+02  0.19005E+00    4       545
    142  0.10383237E+02  0.19005E+00    4       549
    143  0.10573287E+02  0.19005E+00    4       553
    144  0.10763336E+02  0.19005E+00    4       557
    145  0.10953386E+02  0.19005E+00    4       561
    146  0.11143435E+02  0.19005E+00    4       565
    147  0.11333485E+02  0.19005E+00    4       569
    148  0.11523534E+02  0.19005E+00    4       573
    149  0.11713584E+02  0.19005E+00    4       577
    150  0.11903633E+02  0.19005E+00    4       581
    151  0.12093683E+02  0.19005E+00    4       585
    152  0.12283732E+02  0.19005E+00    4       589
    153  0.12473782E+02  0.19005E+00    4       593
    154  0.12663831E+02  0.19005E+00    4       597
    155  0.12853881E+02  0.19005E+00    4       601
    156  0.13043930E+02  0.19005E+00    4       605
    157  0.13239537E+02  0.19561E+00    4       609
    158  0.13435144E+02  0.19561E+00    4       613
    159  0.13630751E+02  0.19561E+00    4       617
    160  0.13826358E+02  0.19561E+00    4       621
    161  0.14021965E+02  0.19561E+00    4       625
    162  0.14217572E+02  0.19561E+00    4       629
    163  0.14413179E+02  0.19561E+00    4       633
    164  0.14608786E+02  0.19561E+00    4       637
    165  0.14804393E+02  0.19561E+00    4       641
    166  0.15000000E+02  0.19561E+00    4       645
    167  0.15190050E+02  0.19005E+00    4       649
    168  0.15380099E+02  0.19005E+00    4       653
    169  0.15570149E+02  0.19005E+00    4       657
    170  0.15760198E+02  0.19005E+00    3       660
    171  0.16007262E+02  0.24706E+00    4       664
    172  0.16254327E+02  0.24706E+00    4       668
    173  0.16501391E+02  0.24706E+00    4       672
    174  0.16748455E+02  0.24706E+00    4       676
    175  0.16995520E+02  0.24706E+00    4       680
    176  0.17242584E+02  0.24706E+00    4       684
    177  0.17489649E+02  0.24706E+00    4       688
    178  0.17736713E+02  0.24706E+00    4       692
    179  0.17983777E+02  0.24706E+00    4       696
    180  0.18230842E+02  0.24706E+00    4       700
    181  0.18477906E+02  0.24706E+00    4       704
    182  0.18724970E+02  0.24706E+00    4       708
    183  0.18972035E+02  0.24706E+00    4       712
    184  0.19219099E+02  0.24706E+00    4       716
    185  0.19466163E+02  0.24706E+00    4       720
    186  0.19713228E+02  0.24706E+00    4       724
    187  0.19960292E+02  0.24706E+00    4       728
    188  0.20207356E+02  0.24706E+00    4       732
    189  0.20454421E+02  0.24706E+00    4       736
    190  0.20701485E+02  0.24706E+00    4       740
    191  0.20948549E+02  0.24706E+00    4       744
    192  0.21195614E+02  0.24706E+00    4       748
    193  0.21442678E+02  0.24706E+00    4       752
    194  0.21689743E+02  0.24706E+00    4       756
    195  0.21936807E+02  0.24706E+00    4       760
    196  0.22183871E+02  0.24706E+00    4       764
    197  0.22430936E+02  0.24706E+00    4       768
    198  0.22678000E+02  0.24706E+00    4       772
    199  0.22925064E+02  0.24706E+00    4       776
    200  0.23172129E+02  0.24706E+00    3       779
    201  0.23493312E+02  0.32118E+00    4       783
    202  0.23814496E+02  0.32118E+00    4       787
    203  0.24135680E+02  0.32118E+00    4       791
    204  0.24456863E+02  0.32118E+00    4       795
    205  0.24778047E+02  0.32118E+00    4       799
    206  0.25099231E+02  0.32118E+00    4       803
    207  0.25420414E+02  0.32118E+00    4       807
    208  0.25741598E+02  0.32118E+00    4       811
    209  0.26062781E+02  0.32118E+00    4       815
    210  0.26383965E+02  0.32118E+00    4       819
    211  0.26705149E+02  0.32118E+00    4       823
    212  0.27034634E+02  0.32949E+00    4       827
    213  0.27364119E+02  0.32949E+00    4       831
    214  0.27693604E+02  0.32949E+00    4       835
    215  0.28023089E+02  0.32949E+00    4       839
    216  0.28352574E+02  0.32949E+00    4       843
    217  0.28682059E+02  0.32949E+00    4       847
    218  0.29011545E+02  0.32949E+00    4       851
    219  0.29341030E+02  0.32949E+00    4       855
    220  0.29670515E+02  0.32949E+00    4       859
    221  0.30000000E+02  0.32949E+00    4       863
    222  0.30321184E+02  0.32118E+00    4       867
    223  0.30642367E+02  0.32118E+00    4       871
    224  0.30963551E+02  0.32118E+00    4       875
    225  0.31284735E+02  0.32118E+00    4       879
    226  0.31605918E+02  0.32118E+00    4       883
    227  0.31927102E+02  0.32118E+00    4       887
    228  0.32248286E+02  0.32118E+00    4       891
    229  0.32569469E+02  0.32118E+00    4       895
    230  0.32890653E+02  0.32118E+00    4       899
    231  0.33211837E+02  0.32118E+00    4       903
    232  0.33533020E+02  0.32118E+00    4       907
    233  0.33854204E+02  0.32118E+00    4       911
    234  0.34175387E+02  0.32118E+00    4       915
    235  0.34496571E+02  0.32118E+00    4       919
    236  0.34817755E+02  0.32118E+00    4       923
    237  0.35138938E+02  0.32118E+00    4       927
    238  0.35460122E+02  0.32118E+00    4       931
    239  0.35781306E+02  0.32118E+00    4       935
    240  0.36102489E+02  0.32118E+00    4       939
    241  0.36423673E+02  0.32118E+00    4       943
    242  0.36744857E+02  0.32118E+00    4       947
    243  0.37066040E+02  0.32118E+00    4       951
    244  0.37387224E+02  0.32118E+00    4       955
    245  0.37708408E+02  0.32118E+00    4       959
    246  0.38029591E+02  0.32118E+00    4       963
    247  0.38350775E+02  0.32118E+00    4       967
    248  0.38671959E+02  0.32118E+00    4       971
    249  0.38993142E+02  0.32118E+00    4       975
    250  0.39314326E+02  0.32118E+00    4       979
    251  0.39635510E+02  0.32118E+00    4       983
    252  0.39956693E+02  0.32118E+00    4       987
    253  0.40277877E+02  0.32118E+00    4       991
    254  0.40599061E+02  0.32118E+00    4       995
    255  0.40920244E+02  0.32118E+00    4       999
    256  0.41241428E+02  0.32118E+00    4      1003
    257  0.41562611E+02  0.32118E+00    4      1007
    258  0.41883795E+02  0.32118E+00    4      1011
    259  0.42204979E+02  0.32118E+00    4      1015
    260  0.42526162E+02  0.32118E+00    4      1019
    261  0.42847346E+02  0.32118E+00    4      1023
    262  0.43168530E+02  0.32118E+00    4      1027
    263  0.43489713E+02  0.32118E+00    4      1031
    264  0.43810897E+02  0.32118E+00    4      1035
    265  0.44132081E+02  0.32118E+00    4      1039
    266  0.44453264E+02  0.32118E+00    4      1043
    267  0.44774448E+02  0.32118E+00    4      1047
    268  0.45095632E+02  0.32118E+00    4      1051
    269  0.45416815E+02  0.32118E+00    4      1055
    270  0.45737999E+02  0.32118E+00    4      1059
    271  0.46059183E+02  0.32118E+00    4      1063
    272  0.46380366E+02  0.32118E+00    4      1067
    273  0.46701550E+02  0.32118E+00    4      1071
    274  0.47022734E+02  0.32118E+00    4      1075
    275  0.47343917E+02  0.32118E+00    4      1079
    276  0.47665101E+02  0.32118E+00    4      1083
    277  0.47986284E+02  0.32118E+00    4      1087
    278  0.48307468E+02  0.32118E+00    4      1091
    279  0.48628652E+02  0.32118E+00    4      1095
    280  0.48949835E+02  0.32118E+00    4      1099
    281  0.49271019E+02  0.32118E+00    4      1103
    282  0.49592203E+02  0.32118E+00    4      1107
    283  0.49913386E+02  0.32118E+00    4      1111
    284  0.50234570E+02  0.32118E+00    4      1115
    285  0.50555754E+02  0.32118E+00    4      1119
    286  0.50876937E+02  0.32118E+00    4      1123
    287  0.51198121E+02  0.32118E+00    4      1127
    288  0.51519305E+02  0.32118E+00    4      1131
