 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010       -8.9        0.0       -8.8        0.0        0.0        0.0       -9.2        0.0        0.0        0.0
         0.0020       -8.9        0.0       -8.7        0.0        0.0        0.0       -9.5        0.0        0.0        0.0
         0.0030       -8.9        0.0       -8.6        0.0        0.0        0.0       -9.7        0.0        0.0        0.0
         0.0043       -8.9        0.0       -8.5        0.0        0.0        0.0       -9.9        0.0        0.0        0.0
         0.0060       -9.0        0.0       -8.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0082       -9.0        0.0       -8.2        0.0        0.0        0.0      -10.4        0.0        0.0        0.0
         0.0110       -9.0        0.0       -8.0        0.0        0.0        0.0      -10.7        0.0        0.0        0.0
         0.0148       -9.0        0.0       -7.8        0.0        0.0        0.0      -10.9        0.0        0.0        0.0
         0.0196       -9.1        0.0       -7.5        0.0        0.0        0.0      -11.2        0.0        0.0        0.0
         0.0259       -9.1        0.0       -7.2        0.0        0.0        0.0      -11.5        0.0        0.0        0.0
         0.0340       -9.2        0.0       -6.9        0.0        0.0        0.0      -11.8        0.0        0.0        0.0
         0.0446       -9.3        0.0       -6.6        0.0        0.0        0.0      -12.1        0.0        0.0        0.0
         0.0584       -9.3        0.0       -6.3        0.0        0.0        0.0      -12.3        0.0        0.0        0.0
         0.0722       -9.4        0.0       -6.1        0.0        0.0        0.0      -12.6        0.0        0.0        0.0
         0.0860       -9.5        0.0       -5.9        0.0        0.0        0.0      -12.8        0.0        0.0        0.0
         0.1039       -9.7        0.0       -5.8        0.0        0.0        0.0      -13.0        0.0        0.0        0.0
         0.1218       -9.8        0.0       -5.7        0.0        0.0        0.0      -13.2        0.0        0.0        0.0
         0.1397       -9.9        0.0       -5.7        0.0        0.0        0.0      -13.3        0.0        0.0        0.0
         0.1577      -10.0        0.0       -5.6        0.0        0.0        0.0      -13.5        0.0        0.0        0.0
         0.1756      -10.1        0.0       -5.6        0.0        0.0        0.0      -13.6        0.0        0.0        0.0
         0.1989      -10.2        0.0       -5.6        0.0        0.0        0.0      -13.8        0.0        0.0        0.0
         0.2222      -10.3        0.0       -5.5        0.0        0.0        0.0      -13.9        0.0        0.0        0.0
         0.2455      -10.5        0.0       -5.5        0.0        0.0        0.0      -14.1        0.0        0.0        0.0
         0.2688      -10.6        0.0       -5.5        0.0        0.0        0.0      -14.2        0.0        0.0        0.0
         0.2921      -10.7        0.0       -5.5        0.0        0.0        0.0      -14.3        0.0        0.0        0.0
         0.3154      -10.8        0.0       -5.4        0.0        0.0        0.0      -14.4        0.0        0.0        0.0
         0.3387      -10.9        0.0       -5.4        0.0        0.0        0.0      -14.5        0.0        0.0        0.0
         0.3620      -11.0        0.0       -5.4        0.0        0.0        0.0      -14.6        0.0        0.0        0.0
         0.3853      -11.1        0.0       -5.4        0.0        0.0        0.0      -14.7        0.0        0.0        0.0
         0.4086      -11.2        0.0       -5.4        0.0        0.0        0.0      -14.8        0.0        0.0        0.0
         0.4319      -11.3        0.0       -5.3        0.0        0.0        0.0      -14.9        0.0        0.0        0.0
         0.4552      -11.3        0.0       -5.3        0.0        0.0        0.0      -15.0        0.0        0.0        0.0
         0.4785      -11.4        0.0       -5.3        0.0        0.0        0.0      -15.1        0.0        0.0        0.0
         0.5018      -11.5        0.0       -5.3        0.0        0.0        0.0      -15.1        0.0        0.0        0.0
         0.5320      -11.6        0.0       -5.3        0.0        0.0        0.0      -15.3        0.0        0.0        0.0
         0.5623      -11.7        0.0       -5.2        0.0        0.0        0.0      -15.4        0.0        0.0        0.0
         0.5926      -11.8        0.0       -5.2        0.0        0.0        0.0      -15.5        0.0        0.0        0.0
         0.6229      -11.9        0.0       -5.2        0.0        0.0        0.0      -15.5        0.0        0.0        0.0
         0.6532      -12.0        0.0       -5.2        0.0        0.0        0.0      -15.6        0.0        0.0        0.0
         0.6835      -12.1        0.0       -5.2        0.0        0.0        0.0      -15.7        0.0        0.0        0.0
         0.7138      -12.2        0.0       -5.1        0.0        0.0        0.0      -15.8        0.0        0.0        0.0
         0.7441      -12.2        0.0       -5.1        0.0        0.0        0.0      -15.9        0.0        0.0        0.0
         0.7743      -12.3        0.0       -5.1        0.0        0.0        0.0      -16.0        0.0        0.0        0.0
         0.8046      -12.4        0.0       -5.1        0.0        0.0        0.0      -16.1        0.0        0.0        0.0
         0.8349      -12.5        0.0       -5.0        0.0        0.0        0.0      -16.2        0.0        0.0        0.0
         0.8652      -12.5        0.0       -5.0        0.0        0.0        0.0      -16.2        0.0        0.0        0.0
         0.8955      -12.6        0.0       -5.0        0.0        0.0        0.0      -16.3        0.0        0.0        0.0
         0.9258      -12.7        0.0       -5.0        0.0        0.0        0.0      -16.4        0.0        0.0        0.0
         0.9561      -12.8        0.0       -5.0        0.0        0.0        0.0      -16.5        0.0        0.0        0.0
         0.9864      -12.8        0.0       -4.9        0.0        0.0        0.0      -16.5        0.0        0.0        0.0
         1.0166      -12.9        0.0       -4.9        0.0        0.0        0.0      -16.6        0.0        0.0        0.0
         1.0560      -13.0        0.0       -4.9        0.0        0.0        0.0      -16.7        0.0        0.0        0.0
         1.0954      -13.0        0.0       -4.9        0.0        0.0        0.0      -16.8        0.0        0.0        0.0
         1.1348      -13.1        0.0       -4.8        0.0        0.0        0.0      -16.9        0.0        0.0        0.0
         1.1741      -13.2        0.0       -4.8        0.0        0.0        0.0      -17.0        0.0        0.0        0.0
         1.2135      -13.3        0.0       -4.8        0.0        0.0        0.0      -17.1        0.0        0.0        0.0
         1.2529      -13.3        0.0       -4.7        0.0        0.0        0.0      -17.1        0.0        0.0        0.0
         1.2923      -13.4        0.0       -4.7        0.0        0.0        0.0      -17.2        0.0        0.0        0.0
         1.3316      -13.5        0.0       -4.7        0.0        0.0        0.0      -17.3        0.0        0.0        0.0
         1.3710      -13.5        0.0       -4.6        0.0        0.0        0.0      -17.4        0.0        0.0        0.0
         1.4104      -13.6        0.0       -4.6        0.0        0.0        0.0      -17.5        0.0        0.0        0.0
         1.4616      -13.7        0.0       -4.6        0.0        0.0        0.0      -17.6        0.0        0.0        0.0
         1.5128      -13.7        0.0       -4.5        0.0        0.0        0.0      -17.7        0.0        0.0        0.0
         1.5639      -13.8        0.0       -4.5        0.0        0.0        0.0      -17.8        0.0        0.0        0.0
         1.6151      -13.9        0.0       -4.5        0.0        0.0        0.0      -17.9        0.0        0.0        0.0
         1.6663      -13.9        0.0       -4.4        0.0        0.0        0.0      -18.0        0.0        0.0        0.0
         1.7175      -14.0        0.0       -4.4        0.0        0.0        0.0      -18.1        0.0        0.0        0.0
         1.7687      -14.1        0.0       -4.3        0.0        0.0        0.0      -18.1        0.0        0.0        0.0
         1.8199      -14.1        0.0       -4.3        0.0        0.0        0.0      -18.2        0.0        0.0        0.0
         1.8711      -14.2        0.0       -4.3        0.0        0.0        0.0      -18.3        0.0        0.0        0.0
         1.9376      -14.2        0.0       -4.2        0.0        0.0        0.0      -18.4        0.0        0.0        0.0
         2.0041      -14.3        0.0       -4.2        0.0        0.0        0.0      -18.5        0.0        0.0        0.0
