Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5423.4,0.0,-1565.0,,
5.0,37804.0,5761.1,67.502,-464.21,0.2955,0.031
15.0,37804.0,6435.7,67.435,-375.79,-0.049672,0.003
30.0,37804.0,7447.5,67.452,-247.05,-0.78149,0.03
60.0,37804.0,9195.1,42.065,-66.774,-1.3748,0.032
120.0,37804.0,9056.5,-0.039027,-26.861,-1.5631,0.035
180.0,37804.0,9055.6,-0.0072645,-25.53,-1.5027,0.034
240.0,37804.0,9055.3,-0.004904,-25.673,-1.4403,0.032
500.0,37804.0,9054.2,-0.003862,-26.94,-1.3424,0.03
720.0,37804.0,9054.6,-0.0032834,-27.656,-0.14535,0.003
1440.0,37804.0,9055.2,-0.0002475,-28.735,2.164,0.048
2160.0,37804.0,9054.5,-0.0012751,-29.038,2.8794,0.064
2880.0,37804.0,9053.4,-0.0015962,-29.146,3.0397,0.068
