Time_T,CumQAP_L3,CumQRP_L3,CumQA_L3,CumQR_L3,CumQ3_L3,CumQ1_L3,CumQS_L3,CumQ5_L3,CumQ6_L3,CumQ7_L3,CumQ8_L3,CumQ9_L3,CRunOff_L3,cEvapor_L3,cInfiltr_L3,hAtm_L,hRoot_L,hKode3_L,hKode1_L,hSeep_L,hKode5_L,hKode6_L,hKode7_L,hKode8_L,hKode9_L,rAtm_LpT,rRoot_LpT,vAtm_LpT,vRoot_LpT,vKode3_L3pT,vKode1_L3pT,vSeep_L3pT,vKode5_L3pT,vKode6_L3pT,vKode7_L3pT,vKode8_L3pT,vKode9_L3pT,RunOff_LpT,Evapor_LpT,Infiltr_LpT,SnowLayer_L,dt,Iter,ItCum
0.001,0.0,0.0,0.0,0.0,-0.0675,0.0,0.0,0.0,0.0033299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-12.4,0.0,-12.2,0.0,0.0,0.0,-14.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8,8
0.0017,0.0,0.0,0.0,0.0,-0.115,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,-12.4,0.0,-12.1,0.0,0.0,0.0,-14.9,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,4,12
0.0024,0.0,0.0,0.0,0.0,-0.162,0.0,0.0,0.0,0.00518,0.0,0.0,0.0,0.0,0.0,0.0,-12.4,0.0,-12.0,0.0,0.0,0.0,-15.5,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,4,16
0.0031,0.0,0.0,0.0,0.0,-0.209,0.0,0.0,0.0,0.0058200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-12.4,0.0,-11.9,0.0,0.0,0.0,-15.9,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.9079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,3,19
0.004,0.0,0.0,0.0,0.0,-0.271,0.0,0.0,0.0,0.006520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-12.4,0.0,-11.8,0.0,0.0,0.0,-16.4,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00091,3,22
0.0052,0.0,0.0,0.0,0.0,-0.35100000000000003,0.0,0.0,0.0,0.00731,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,-11.7,0.0,0.0,0.0,-16.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001183,3,25
0.0067,0.0,0.0,0.0,0.0,-0.45399999999999996,0.0,0.0,0.0,0.00818,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,-11.5,0.0,0.0,0.0,-17.2,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015379,3,28
0.0087,0.0,0.0,0.0,0.0,-0.589,0.0,0.0,0.0,0.00916,0.0,0.0,0.0,0.0,0.0,0.0,-12.6,0.0,-11.4,0.0,0.0,0.0,-17.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019993,3,31
0.0113,0.0,0.0,0.0,0.0,-0.765,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,-12.7,0.0,-11.2,0.0,0.0,0.0,-18.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.42200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025991,3,34
0.0147,0.0,0.0,0.0,0.0,-0.993,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,-12.8,0.0,-11.0,0.0,0.0,0.0,-18.5,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033788000000000004,3,37
0.0191,0.0,0.0,0.0,0.0,-1.29,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,-12.9,0.0,-10.8,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043924,3,40
0.0248,0.0,0.0,0.0,0.0,-1.67,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,-13.1,0.0,-10.7,0.0,0.0,0.0,-19.4,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.27699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005710100000000001,3,43
0.0322,0.0,0.0,0.0,0.0,-2.18,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,-13.3,0.0,-10.5,0.0,0.0,0.0,-19.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007423100000000001,3,46
0.0419,0.0,0.0,0.0,0.0,-2.83,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,-13.5,0.0,-10.4,0.0,0.0,0.0,-20.2,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096501,3,49
0.0544,0.0,0.0,0.0,0.0,-3.67,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,-13.9,0.0,-10.4,0.0,0.0,0.0,-20.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.18600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012545,4,53
0.067,0.0,0.0,0.0,0.0,-4.52,0.0,0.0,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,-14.2,0.0,-10.3,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012545,4,57
0.0795,0.0,0.0,0.0,0.0,-5.37,0.0,0.0,0.0,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,-10.3,0.0,0.0,0.0,-21.4,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012545,3,60
0.0958,0.0,0.0,0.0,0.0,-6.47,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,-14.8,0.0,-10.3,0.0,0.0,0.0,-21.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,64
0.1121,0.0,0.0,0.0,0.0,-7.57,0.0,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,-15.1,0.0,-10.2,0.0,0.0,0.0,-22.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.11800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,68
0.1284,0.0,0.0,0.0,0.0,-8.67,0.0,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,-15.4,0.0,-10.2,0.0,0.0,0.0,-22.4,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,72
0.1448,0.0,0.0,0.0,0.0,-9.77,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,-15.7,0.0,-10.2,0.0,0.0,0.0,-22.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,76
0.1611,0.0,0.0,0.0,0.0,-10.9,0.0,0.0,0.0,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,-10.2,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,80
0.1774,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,-16.2,0.0,-10.1,0.0,0.0,0.0,-23.3,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.0838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016309,4,84
