

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    8         8
      2  0.17000001E-02  0.70000E-03    4        12
      3  0.24000001E-02  0.70000E-03    4        16
      4  0.31000001E-02  0.70000E-03    3        19
      5  0.40100001E-02  0.91000E-03    3        22
      6  0.51930001E-02  0.11830E-02    3        25
      7  0.67308999E-02  0.15379E-02    3        28
      8  0.87301696E-02  0.19993E-02    3        31
      9  0.11329220E-01  0.25991E-02    3        34
     10  0.14707986E-01  0.33788E-02    3        37
     11  0.19100381E-01  0.43924E-02    3        40
     12  0.24810495E-01  0.57101E-02    3        43
     13  0.32233642E-01  0.74231E-02    3        46
     14  0.41883734E-01  0.96501E-02    3        49
     15  0.54428853E-01  0.12545E-01    4        53
     16  0.66973972E-01  0.12545E-01    4        57
     17  0.79519091E-01  0.12545E-01    3        60
     18  0.95827745E-01  0.16309E-01    4        64
     19  0.11213640E+00  0.16309E-01    4        68
     20  0.12844505E+00  0.16309E-01    4        72
     21  0.14475371E+00  0.16309E-01    4        76
     22  0.16106236E+00  0.16309E-01    4        80
     23  0.17737102E+00  0.16309E-01    4        84
     24  0.19367967E+00  0.16309E-01    4        88
     25  0.20998832E+00  0.16309E-01    4        92
     26  0.22629698E+00  0.16309E-01    4        96
     27  0.24260563E+00  0.16309E-01    4       100
     28  0.25891429E+00  0.16309E-01    4       104
     29  0.27522294E+00  0.16309E-01    4       108
     30  0.29153159E+00  0.16309E-01    4       112
     31  0.30784025E+00  0.16309E-01    4       116
     32  0.32414890E+00  0.16309E-01    4       120
     33  0.34045756E+00  0.16309E-01    4       124
     34  0.35676621E+00  0.16309E-01    3       127
     35  0.37796746E+00  0.21201E-01    4       131
     36  0.39916871E+00  0.21201E-01    4       135
     37  0.42036996E+00  0.21201E-01    4       139
     38  0.44157121E+00  0.21201E-01    4       143
     39  0.46277246E+00  0.21201E-01    4       147
     40  0.48397371E+00  0.21201E-01    4       151
     41  0.50517496E+00  0.21201E-01    4       155
     42  0.52637620E+00  0.21201E-01    4       159
     43  0.54757745E+00  0.21201E-01    4       163
     44  0.56877870E+00  0.21201E-01    4       167
     45  0.58997995E+00  0.21201E-01    4       171
     46  0.61118120E+00  0.21201E-01    4       175
     47  0.63238245E+00  0.21201E-01    4       179
     48  0.65358370E+00  0.21201E-01    4       183
     49  0.67478495E+00  0.21201E-01    4       187
     50  0.69598620E+00  0.21201E-01    4       191
     51  0.71718745E+00  0.21201E-01    4       195
     52  0.73838870E+00  0.21201E-01    4       199
     53  0.75958995E+00  0.21201E-01    3       202
     54  0.78715157E+00  0.27562E-01    4       206
     55  0.81471319E+00  0.27562E-01    4       210
     56  0.84227482E+00  0.27562E-01    4       214
     57  0.86983644E+00  0.27562E-01    4       218
     58  0.89739806E+00  0.27562E-01    4       222
     59  0.92495969E+00  0.27562E-01    4       226
     60  0.95252131E+00  0.27562E-01    4       230
     61  0.98008293E+00  0.27562E-01    4       234
     62  0.10076446E+01  0.27562E-01    4       238
     63  0.10352062E+01  0.27562E-01    4       242
     64  0.10627678E+01  0.27562E-01    4       246
     65  0.10903294E+01  0.27562E-01    4       250
     66  0.11178911E+01  0.27562E-01    3       253
     67  0.11537212E+01  0.35830E-01    4       257
     68  0.11895513E+01  0.35830E-01    4       261
     69  0.12253814E+01  0.35830E-01    4       265
     70  0.12612115E+01  0.35830E-01    4       269
     71  0.12970416E+01  0.35830E-01    4       273
     72  0.13328717E+01  0.35830E-01    4       277
     73  0.13687018E+01  0.35830E-01    4       281
     74  0.14045319E+01  0.35830E-01    4       285
     75  0.14403620E+01  0.35830E-01    3       288
     76  0.14869412E+01  0.46579E-01    4       292
     77  0.15335203E+01  0.46579E-01    4       296
     78  0.15800995E+01  0.46579E-01    4       300
     79  0.16266786E+01  0.46579E-01    4       304
     80  0.16732578E+01  0.46579E-01    4       308
     81  0.17198369E+01  0.46579E-01    4       312
     82  0.17664160E+01  0.46579E-01    4       316
     83  0.18129952E+01  0.46579E-01    4       320
     84  0.18595743E+01  0.46579E-01    3       323
     85  0.19201272E+01  0.60553E-01    4       327
     86  0.19806801E+01  0.60553E-01    4       331
     87  0.20412330E+01  0.60553E-01    4       335
     88  0.21017858E+01  0.60553E-01    4       339
     89  0.21623387E+01  0.60553E-01    4       343
     90  0.22228916E+01  0.60553E-01    4       347
     91  0.22834445E+01  0.60553E-01    4       351
     92  0.23439974E+01  0.60553E-01    4       355
     93  0.24045502E+01  0.60553E-01    3       358
     94  0.24832690E+01  0.78719E-01    4       362
     95  0.25619877E+01  0.78719E-01    4       366
     96  0.26407065E+01  0.78719E-01    4       370
     97  0.27194252E+01  0.78719E-01    4       374
     98  0.27981440E+01  0.78719E-01    4       378
     99  0.28768627E+01  0.78719E-01    4       382
    100  0.29555814E+01  0.78719E-01    4       386
    101  0.30343002E+01  0.78719E-01    4       390
    102  0.31130189E+01  0.78719E-01    4       394
    103  0.31917377E+01  0.78719E-01    4       398
    104  0.32704564E+01  0.78719E-01    3       401
    105  0.33727908E+01  0.10233E+00    4       405
    106  0.34751252E+01  0.10233E+00    4       409
    107  0.35774595E+01  0.10233E+00    4       413
    108  0.36797939E+01  0.10233E+00    4       417
    109  0.37821283E+01  0.10233E+00    4       421
    110  0.38844626E+01  0.10233E+00    4       425
    111  0.39867970E+01  0.10233E+00    4       429
    112  0.40881173E+01  0.10132E+00    4       433
    113  0.41894376E+01  0.10132E+00    4       437
    114  0.42907579E+01  0.10132E+00    4       441
    115  0.43920782E+01  0.10132E+00    4       445
    116  0.44933985E+01  0.10132E+00    4       449
    117  0.45947188E+01  0.10132E+00    4       453
    118  0.46960391E+01  0.10132E+00    3       456
    119  0.48480195E+01  0.15198E+00    5       461
    120  0.50000000E+01  0.15198E+00    5       466
    121  0.51330347E+01  0.13303E+00    4       470
    122  0.52660694E+01  0.13303E+00    4       474
    123  0.53991040E+01  0.13303E+00    4       478
    124  0.55321387E+01  0.13303E+00    4       482
    125  0.56651734E+01  0.13303E+00    4       486
    126  0.57982081E+01  0.13303E+00    4       490
    127  0.59312427E+01  0.13303E+00    4       494
    128  0.60642774E+01  0.13303E+00    4       498
    129  0.61973121E+01  0.13303E+00    4       502
    130  0.63303468E+01  0.13303E+00    4       506
    131  0.64633814E+01  0.13303E+00    4       510
    132  0.65964161E+01  0.13303E+00    4       514
    133  0.67294508E+01  0.13303E+00    4       518
    134  0.68624855E+01  0.13303E+00    4       522
    135  0.69955202E+01  0.13303E+00    4       526
    136  0.71285548E+01  0.13303E+00    4       530
    137  0.72615895E+01  0.13303E+00    4       534
    138  0.73946242E+01  0.13303E+00    4       538
    139  0.75276589E+01  0.13303E+00    4       542
    140  0.76606935E+01  0.13303E+00    4       546
    141  0.77937282E+01  0.13303E+00    4       550
    142  0.79267629E+01  0.13303E+00    4       554
    143  0.80597976E+01  0.13303E+00    4       558
    144  0.81928322E+01  0.13303E+00    4       562
    145  0.83258669E+01  0.13303E+00    4       566
    146  0.84589016E+01  0.13303E+00    4       570
    147  0.85919363E+01  0.13303E+00    4       574
    148  0.87249709E+01  0.13303E+00    4       578
    149  0.88580056E+01  0.13303E+00    4       582
    150  0.89910403E+01  0.13303E+00    4       586
    151  0.91240750E+01  0.13303E+00    4       590
    152  0.92571096E+01  0.13303E+00    4       594
    153  0.93901443E+01  0.13303E+00    4       598
    154  0.95231790E+01  0.13303E+00    4       602
    155  0.96562137E+01  0.13303E+00    4       606
    156  0.97892484E+01  0.13303E+00    3       609
    157  0.99621934E+01  0.17295E+00    4       613
    158  0.10135138E+02  0.17295E+00    4       617
    159  0.10308084E+02  0.17295E+00    4       621
    160  0.10481029E+02  0.17295E+00    4       625
    161  0.10653974E+02  0.17295E+00    4       629
    162  0.10826919E+02  0.17295E+00    4       633
    163  0.10999864E+02  0.17295E+00    4       637
    164  0.11172809E+02  0.17295E+00    4       641
    165  0.11345754E+02  0.17295E+00    4       645
    166  0.11518699E+02  0.17295E+00    4       649
    167  0.11691644E+02  0.17295E+00    4       653
    168  0.11864589E+02  0.17295E+00    4       657
    169  0.12037534E+02  0.17295E+00    4       661
    170  0.12210479E+02  0.17295E+00    4       665
    171  0.12383424E+02  0.17295E+00    4       669
    172  0.12556369E+02  0.17295E+00    4       673
    173  0.12729314E+02  0.17295E+00    4       677
    174  0.12902260E+02  0.17295E+00    4       681
    175  0.13075205E+02  0.17295E+00    4       685
    176  0.13248150E+02  0.17295E+00    4       689
    177  0.13423335E+02  0.17519E+00    4       693
    178  0.13598520E+02  0.17519E+00    4       697
    179  0.13773705E+02  0.17519E+00    4       701
    180  0.13948890E+02  0.17519E+00    4       705
    181  0.14124075E+02  0.17519E+00    4       709
    182  0.14299260E+02  0.17519E+00    4       713
    183  0.14474445E+02  0.17519E+00    4       717
    184  0.14649630E+02  0.17519E+00    4       721
    185  0.14824815E+02  0.17519E+00    4       725
    186  0.15000000E+02  0.17519E+00    4       729
    187  0.15172945E+02  0.17295E+00    4       733
    188  0.15345890E+02  0.17295E+00    4       737
    189  0.15518835E+02  0.17295E+00    4       741
    190  0.15691780E+02  0.17295E+00    4       745
    191  0.15864725E+02  0.17295E+00    4       749
    192  0.16037670E+02  0.17295E+00    4       753
    193  0.16210615E+02  0.17295E+00    4       757
    194  0.16383561E+02  0.17295E+00    4       761
    195  0.16556506E+02  0.17295E+00    3       764
    196  0.16781334E+02  0.22483E+00    4       768
    197  0.17006163E+02  0.22483E+00    4       772
    198  0.17230991E+02  0.22483E+00    4       776
    199  0.17455820E+02  0.22483E+00    4       780
    200  0.17680649E+02  0.22483E+00    4       784
    201  0.17905477E+02  0.22483E+00    4       788
    202  0.18130306E+02  0.22483E+00    4       792
    203  0.18355134E+02  0.22483E+00    4       796
    204  0.18579963E+02  0.22483E+00    4       800
    205  0.18804791E+02  0.22483E+00    4       804
    206  0.19029620E+02  0.22483E+00    4       808
    207  0.19254449E+02  0.22483E+00    4       812
