 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -12.4        0.0      -12.2        0.0        0.0        0.0      -14.1        0.0        0.0        0.0
         0.0017      -12.4        0.0      -12.1        0.0        0.0        0.0      -14.9        0.0        0.0        0.0
         0.0024      -12.4        0.0      -12.0        0.0        0.0        0.0      -15.5        0.0        0.0        0.0
         0.0031      -12.4        0.0      -11.9        0.0        0.0        0.0      -15.9        0.0        0.0        0.0
         0.0040      -12.4        0.0      -11.8        0.0        0.0        0.0      -16.4        0.0        0.0        0.0
         0.0052      -12.5        0.0      -11.7        0.0        0.0        0.0      -16.8        0.0        0.0        0.0
         0.0067      -12.5        0.0      -11.5        0.0        0.0        0.0      -17.2        0.0        0.0        0.0
         0.0087      -12.6        0.0      -11.4        0.0        0.0        0.0      -17.7        0.0        0.0        0.0
         0.0113      -12.7        0.0      -11.2        0.0        0.0        0.0      -18.1        0.0        0.0        0.0
         0.0147      -12.8        0.0      -11.0        0.0        0.0        0.0      -18.5        0.0        0.0        0.0
         0.0191      -12.9        0.0      -10.8        0.0        0.0        0.0      -19.0        0.0        0.0        0.0
         0.0248      -13.1        0.0      -10.7        0.0        0.0        0.0      -19.4        0.0        0.0        0.0
         0.0322      -13.3        0.0      -10.5        0.0        0.0        0.0      -19.8        0.0        0.0        0.0
         0.0419      -13.5        0.0      -10.4        0.0        0.0        0.0      -20.2        0.0        0.0        0.0
         0.0544      -13.9        0.0      -10.4        0.0        0.0        0.0      -20.7        0.0        0.0        0.0
         0.0670      -14.2        0.0      -10.3        0.0        0.0        0.0      -21.0        0.0        0.0        0.0
         0.0795      -14.5        0.0      -10.3        0.0        0.0        0.0      -21.4        0.0        0.0        0.0
         0.0958      -14.8        0.0      -10.3        0.0        0.0        0.0      -21.8        0.0        0.0        0.0
         0.1121      -15.1        0.0      -10.2        0.0        0.0        0.0      -22.1        0.0        0.0        0.0
         0.1284      -15.4        0.0      -10.2        0.0        0.0        0.0      -22.4        0.0        0.0        0.0
         0.1448      -15.7        0.0      -10.2        0.0        0.0        0.0      -22.7        0.0        0.0        0.0
         0.1611      -16.0        0.0      -10.2        0.0        0.0        0.0      -23.0        0.0        0.0        0.0
         0.1774      -16.2        0.0      -10.1        0.0        0.0        0.0      -23.3        0.0        0.0        0.0
         0.1937      -16.5        0.0      -10.1        0.0        0.0        0.0      -23.5        0.0        0.0        0.0
         0.2100      -16.7        0.0      -10.1        0.0        0.0        0.0      -23.8        0.0        0.0        0.0
         0.2263      -16.9        0.0      -10.1        0.0        0.0        0.0      -24.0        0.0        0.0        0.0
         0.2426      -17.1        0.0      -10.0        0.0        0.0        0.0      -24.2        0.0        0.0        0.0
         0.2589      -17.3        0.0      -10.0        0.0        0.0        0.0      -24.4        0.0        0.0        0.0
         0.2752      -17.5        0.0      -10.0        0.0        0.0        0.0      -24.6        0.0        0.0        0.0
         0.2915      -17.7        0.0      -10.0        0.0        0.0        0.0      -24.8        0.0        0.0        0.0
         0.3078      -17.8        0.0      -10.0        0.0        0.0        0.0      -25.0        0.0        0.0        0.0
         0.3241      -18.0        0.0       -9.9        0.0        0.0        0.0      -25.2        0.0        0.0        0.0
         0.3405      -18.2        0.0       -9.9        0.0        0.0        0.0      -25.4        0.0        0.0        0.0
         0.3568      -18.3        0.0       -9.9        0.0        0.0        0.0      -25.5        0.0        0.0        0.0
         0.3780      -18.5        0.0       -9.9        0.0        0.0        0.0      -25.8        0.0        0.0        0.0
         0.3992      -18.7        0.0       -9.8        0.0        0.0        0.0      -26.0        0.0        0.0        0.0
         0.4204      -18.9        0.0       -9.8        0.0        0.0        0.0      -26.2        0.0        0.0        0.0
         0.4416      -19.1        0.0       -9.8        0.0        0.0        0.0      -26.4        0.0        0.0        0.0
         0.4628      -19.2        0.0       -9.8        0.0        0.0        0.0      -26.6        0.0        0.0        0.0
         0.4840      -19.4        0.0       -9.7        0.0        0.0        0.0      -26.7        0.0        0.0        0.0
         0.5052      -19.5        0.0       -9.7        0.0        0.0        0.0      -26.9        0.0        0.0        0.0
         0.5264      -19.7        0.0       -9.7        0.0        0.0        0.0      -27.1        0.0        0.0        0.0
         0.5476      -19.8        0.0       -9.7        0.0        0.0        0.0      -27.3        0.0        0.0        0.0
         0.5688      -20.0        0.0       -9.6        0.0        0.0        0.0      -27.4        0.0        0.0        0.0
         0.5900      -20.1        0.0       -9.6        0.0        0.0        0.0      -27.6        0.0        0.0        0.0
         0.6112      -20.2        0.0       -9.6        0.0        0.0        0.0      -27.7        0.0        0.0        0.0
         0.6324      -20.4        0.0       -9.6        0.0        0.0        0.0      -27.9        0.0        0.0        0.0
         0.6536      -20.5        0.0       -9.5        0.0        0.0        0.0      -28.0        0.0        0.0        0.0
         0.6748      -20.6        0.0       -9.5        0.0        0.0        0.0      -28.2        0.0        0.0        0.0
         0.6960      -20.7        0.0       -9.5        0.0        0.0        0.0      -28.3        0.0        0.0        0.0
         0.7172      -20.9        0.0       -9.5        0.0        0.0        0.0      -28.5        0.0        0.0        0.0
         0.7384      -21.0        0.0       -9.5        0.0        0.0        0.0      -28.6        0.0        0.0        0.0
         0.7596      -21.1        0.0       -9.4        0.0        0.0        0.0      -28.7        0.0        0.0        0.0
         0.7872      -21.2        0.0       -9.4        0.0        0.0        0.0      -28.9        0.0        0.0        0.0
         0.8147      -21.4        0.0       -9.4        0.0        0.0        0.0      -29.1        0.0        0.0        0.0
         0.8423      -21.5        0.0       -9.3        0.0        0.0        0.0      -29.2        0.0        0.0        0.0
         0.8698      -21.6        0.0       -9.3        0.0        0.0        0.0      -29.4        0.0        0.0        0.0
         0.8974      -21.7        0.0       -9.3        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         0.9250      -21.9        0.0       -9.3        0.0        0.0        0.0      -29.7        0.0        0.0        0.0
         0.9525      -22.0        0.0       -9.2        0.0        0.0        0.0      -29.9        0.0        0.0        0.0
         0.9801      -22.1        0.0       -9.2        0.0        0.0        0.0      -30.0        0.0        0.0        0.0
         1.0076      -22.2        0.0       -9.2        0.0        0.0        0.0      -30.2        0.0        0.0        0.0
         1.0352      -22.3        0.0       -9.1        0.0        0.0        0.0      -30.3        0.0        0.0        0.0
         1.0628      -22.4        0.0       -9.1        0.0        0.0        0.0      -30.4        0.0        0.0        0.0
         1.0903      -22.5        0.0       -9.1        0.0        0.0        0.0      -30.6        0.0        0.0        0.0
         1.1179      -22.6        0.0       -9.1        0.0        0.0        0.0      -30.7        0.0        0.0        0.0
         1.1537      -22.7        0.0       -9.0        0.0        0.0        0.0      -30.9        0.0        0.0        0.0
         1.1896      -22.9        0.0       -9.0        0.0        0.0        0.0      -31.0        0.0        0.0        0.0
         1.2254      -23.0        0.0       -9.0        0.0        0.0        0.0      -31.2        0.0        0.0        0.0
         1.2612      -23.1        0.0       -8.9        0.0        0.0        0.0      -31.4        0.0        0.0        0.0
         1.2970      -23.2        0.0       -8.9        0.0        0.0        0.0      -31.5        0.0        0.0        0.0
         1.3329      -23.3        0.0       -8.9        0.0        0.0        0.0      -31.7        0.0        0.0        0.0
