Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5423.4,0.0,-1565.5,,
5.0,37804.0,5761.3,67.498,-471.16,0.49201,0.055
15.0,37804.0,6436.2,67.479,-393.28,0.3328,0.02
30.0,37804.0,7448.5,67.506,-280.2,0.13294,0.005
60.0,37804.0,9427.3,55.81,-97.541,-0.32679,0.007
120.0,37804.0,9279.0,-0.092369,-28.125,-0.15597,0.004
180.0,37804.0,9277.0,-0.014012,-24.489,-0.092926,0.002
240.0,37804.0,9276.4,-0.0094009,-24.219,-0.043092,0.001
500.0,37804.0,9274.8,-0.0055769,-25.396,0.10605,0.002
720.0,37804.0,9273.8,-0.0044529,-26.199,0.13544,0.003
1440.0,37804.0,9272.1,-3.6753e-05,-27.416,0.64855,0.015
2160.0,37804.0,9271.3,-0.0014899,-27.736,1.5816,0.037
2880.0,37804.0,9270.0,-0.0018751,-27.845,1.8184,0.042
