

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    5         5
      2  0.20000001E-02  0.10000E-02    4         9
      3  0.30000001E-02  0.10000E-02    3        12
      4  0.43000001E-02  0.13000E-02    3        15
      5  0.59900001E-02  0.16900E-02    3        18
      6  0.81870001E-02  0.21970E-02    3        21
      7  0.11043100E-01  0.28561E-02    3        24
      8  0.14756029E-01  0.37129E-02    3        27
      9  0.19582838E-01  0.48268E-02    3        30
     10  0.25857688E-01  0.62749E-02    3        33
     11  0.34014994E-01  0.81573E-02    3        36
     12  0.44619491E-01  0.10604E-01    3        39
     13  0.58405336E-01  0.13786E-01    4        43
     14  0.72191182E-01  0.13786E-01    4        47
     15  0.85977028E-01  0.13786E-01    4        51
     16  0.99762873E-01  0.13786E-01    4        55
     17  0.11354872E+00  0.13786E-01    3        58
     18  0.13147032E+00  0.17922E-01    4        62
     19  0.14939192E+00  0.17922E-01    4        66
     20  0.16731351E+00  0.17922E-01    4        70
     21  0.18523511E+00  0.17922E-01    4        74
     22  0.20315671E+00  0.17922E-01    4        78
     23  0.22107831E+00  0.17922E-01    3        81
     24  0.24437639E+00  0.23298E-01    4        85
     25  0.26767447E+00  0.23298E-01    4        89
     26  0.29097254E+00  0.23298E-01    4        93
     27  0.31427062E+00  0.23298E-01    4        97
     28  0.33756870E+00  0.23298E-01    4       101
     29  0.36086677E+00  0.23298E-01    4       105
     30  0.38416485E+00  0.23298E-01    4       109
     31  0.40746293E+00  0.23298E-01    4       113
     32  0.43076101E+00  0.23298E-01    4       117
     33  0.45405908E+00  0.23298E-01    3       120
     34  0.48434658E+00  0.30287E-01    4       124
     35  0.51463408E+00  0.30287E-01    4       128
     36  0.54492158E+00  0.30287E-01    4       132
     37  0.57520908E+00  0.30287E-01    4       136
     38  0.60549658E+00  0.30287E-01    4       140
     39  0.63578408E+00  0.30287E-01    4       144
     40  0.66607157E+00  0.30287E-01    4       148
     41  0.69635907E+00  0.30287E-01    4       152
     42  0.72664657E+00  0.30287E-01    4       156
     43  0.75693407E+00  0.30287E-01    4       160
     44  0.78722157E+00  0.30287E-01    4       164
     45  0.81750907E+00  0.30287E-01    4       168
     46  0.84779657E+00  0.30287E-01    4       172
     47  0.87808406E+00  0.30287E-01    4       176
     48  0.90837156E+00  0.30287E-01    3       179
     49  0.94774531E+00  0.39374E-01    4       183
     50  0.98711906E+00  0.39374E-01    4       187
     51  0.10264928E+01  0.39374E-01    4       191
     52  0.10658666E+01  0.39374E-01    4       195
     53  0.11052403E+01  0.39374E-01    4       199
     54  0.11446141E+01  0.39374E-01    4       203
     55  0.11839878E+01  0.39374E-01    4       207
     56  0.12233615E+01  0.39374E-01    4       211
     57  0.12627353E+01  0.39374E-01    4       215
     58  0.13021090E+01  0.39374E-01    4       219
     59  0.13414828E+01  0.39374E-01    4       223
     60  0.13808565E+01  0.39374E-01    3       226
     61  0.14320424E+01  0.51186E-01    4       230
     62  0.14832283E+01  0.51186E-01    4       234
     63  0.15344141E+01  0.51186E-01    4       238
     64  0.15856000E+01  0.51186E-01    4       242
     65  0.16367859E+01  0.51186E-01    4       246
     66  0.16879718E+01  0.51186E-01    4       250
     67  0.17391576E+01  0.51186E-01    4       254
     68  0.17903435E+01  0.51186E-01    4       258
     69  0.18415294E+01  0.51186E-01    3       261
     70  0.19080710E+01  0.66542E-01    4       265
     71  0.19746126E+01  0.66542E-01    4       269
     72  0.20411542E+01  0.66542E-01    4       273
     73  0.21076959E+01  0.66542E-01    4       277
     74  0.21742375E+01  0.66542E-01    4       281
     75  0.22407791E+01  0.66542E-01    4       285
     76  0.23073207E+01  0.66542E-01    3       288
     77  0.23938249E+01  0.86504E-01    4       292
     78  0.24803290E+01  0.86504E-01    4       296
     79  0.25668331E+01  0.86504E-01    4       300
     80  0.26533372E+01  0.86504E-01    4       304
     81  0.27398413E+01  0.86504E-01    4       308
     82  0.28263454E+01  0.86504E-01    4       312
     83  0.29128495E+01  0.86504E-01    4       316
     84  0.29993536E+01  0.86504E-01    3       319
     85  0.31118090E+01  0.11246E+00    4       323
     86  0.32242643E+01  0.11246E+00    4       327
     87  0.33367196E+01  0.11246E+00    4       331
     88  0.34491750E+01  0.11246E+00    4       335
     89  0.35616303E+01  0.11246E+00    4       339
     90  0.36740856E+01  0.11246E+00    4       343
     91  0.37865410E+01  0.11246E+00    4       347
     92  0.38989963E+01  0.11246E+00    4       351
     93  0.40090967E+01  0.11010E+00    4       355
     94  0.41191971E+01  0.11010E+00    4       359
     95  0.42292974E+01  0.11010E+00    4       363
     96  0.43393978E+01  0.11010E+00    4       367
     97  0.44494982E+01  0.11010E+00    4       371
     98  0.45595985E+01  0.11010E+00    4       375
     99  0.46696989E+01  0.11010E+00    4       379
    100  0.47797993E+01  0.11010E+00    4       383
    101  0.48898996E+01  0.11010E+00    4       387
    102  0.50000000E+01  0.11010E+00    4       391
    103  0.51124553E+01  0.11246E+00    4       395
    104  0.52249107E+01  0.11246E+00    4       399
    105  0.53373660E+01  0.11246E+00    3       402
    106  0.54835580E+01  0.14619E+00    4       406
    107  0.56297499E+01  0.14619E+00    4       410
    108  0.57759418E+01  0.14619E+00    4       414
    109  0.59221338E+01  0.14619E+00    4       418
    110  0.60683257E+01  0.14619E+00    4       422
    111  0.62145177E+01  0.14619E+00    4       426
    112  0.63607096E+01  0.14619E+00    4       430
    113  0.65069015E+01  0.14619E+00    4       434
    114  0.66530935E+01  0.14619E+00    4       438
    115  0.67992854E+01  0.14619E+00    4       442
    116  0.69454774E+01  0.14619E+00    4       446
    117  0.70916693E+01  0.14619E+00    4       450
    118  0.72378612E+01  0.14619E+00    4       454
    119  0.73840532E+01  0.14619E+00    4       458
    120  0.75302451E+01  0.14619E+00    4       462
    121  0.76764371E+01  0.14619E+00    4       466
    122  0.78226290E+01  0.14619E+00    4       470
    123  0.79688209E+01  0.14619E+00    4       474
    124  0.81150129E+01  0.14619E+00    4       478
    125  0.82612048E+01  0.14619E+00    4       482
    126  0.84073968E+01  0.14619E+00    4       486
    127  0.85535887E+01  0.14619E+00    4       490
    128  0.86997806E+01  0.14619E+00    4       494
    129  0.88459726E+01  0.14619E+00    4       498
    130  0.89921645E+01  0.14619E+00    4       502
    131  0.91383564E+01  0.14619E+00    4       506
    132  0.92845484E+01  0.14619E+00    4       510
    133  0.94307403E+01  0.14619E+00    4       514
    134  0.95769323E+01  0.14619E+00    4       518
    135  0.97231242E+01  0.14619E+00    4       522
    136  0.98693161E+01  0.14619E+00    4       526
    137  0.10015508E+02  0.14619E+00    4       530
    138  0.10161700E+02  0.14619E+00    4       534
    139  0.10307892E+02  0.14619E+00    4       538
    140  0.10454084E+02  0.14619E+00    4       542
    141  0.10600276E+02  0.14619E+00    4       546
    142  0.10746468E+02  0.14619E+00    4       550
    143  0.10892660E+02  0.14619E+00    4       554
    144  0.11038852E+02  0.14619E+00    4       558
    145  0.11185044E+02  0.14619E+00    4       562
    146  0.11331236E+02  0.14619E+00    4       566
    147  0.11477427E+02  0.14619E+00    4       570
    148  0.11623619E+02  0.14619E+00    4       574
    149  0.11769811E+02  0.14619E+00    3       577
    150  0.11959861E+02  0.19005E+00    4       581
    151  0.12149910E+02  0.19005E+00    4       585
    152  0.12339960E+02  0.19005E+00    4       589
    153  0.12530009E+02  0.19005E+00    4       593
    154  0.12720059E+02  0.19005E+00    4       597
    155  0.12910108E+02  0.19005E+00    4       601
    156  0.13100158E+02  0.19005E+00    4       605
    157  0.13290142E+02  0.18998E+00    4       609
    158  0.13480126E+02  0.18998E+00    4       613
    159  0.13670111E+02  0.18998E+00    4       617
    160  0.13860095E+02  0.18998E+00    4       621
    161  0.14050079E+02  0.18998E+00    4       625
    162  0.14240063E+02  0.18998E+00    4       629
    163  0.14430047E+02  0.18998E+00    4       633
    164  0.14620032E+02  0.18998E+00    4       637
    165  0.14810016E+02  0.18998E+00    4       641
    166  0.15000000E+02  0.18998E+00    4       645
    167  0.15190050E+02  0.19005E+00    4       649
    168  0.15380099E+02  0.19005E+00    4       653
    169  0.15570149E+02  0.19005E+00    4       657
    170  0.15760198E+02  0.19005E+00    4       661
    171  0.15950248E+02  0.19005E+00    4       665
    172  0.16140297E+02  0.19005E+00    4       669
    173  0.16330347E+02  0.19005E+00    4       673
    174  0.16520396E+02  0.19005E+00    4       677
    175  0.16710446E+02  0.19005E+00    4       681
    176  0.16900495E+02  0.19005E+00    4       685
    177  0.17090545E+02  0.19005E+00    4       689
    178  0.17280594E+02  0.19005E+00    4       693
    179  0.17470644E+02  0.19005E+00    4       697
    180  0.17660693E+02  0.19005E+00    4       701
    181  0.17850743E+02  0.19005E+00    4       705
    182  0.18040792E+02  0.19005E+00    4       709
    183  0.18230842E+02  0.19005E+00    4       713
    184  0.18420891E+02  0.19005E+00    4       717
    185  0.18610941E+02  0.19005E+00    4       721
    186  0.18800990E+02  0.19005E+00    4       725
    187  0.18991040E+02  0.19005E+00    4       729
    188  0.19181089E+02  0.19005E+00    4       733
    189  0.19371139E+02  0.19005E+00    4       737
    190  0.19561188E+02  0.19005E+00    4       741
    191  0.19751238E+02  0.19005E+00    4       745
    192  0.19941287E+02  0.19005E+00    4       749
    193  0.20131337E+02  0.19005E+00    3       752
    194  0.20378401E+02  0.24706E+00    4       756
    195  0.20625466E+02  0.24706E+00    4       760
    196  0.20872530E+02  0.24706E+00    4       764
    197  0.21119594E+02  0.24706E+00    4       768
    198  0.21366659E+02  0.24706E+00    4       772
    199  0.21613723E+02  0.24706E+00    4       776
    200  0.21860787E+02  0.24706E+00    4       780
    201  0.22107852E+02  0.24706E+00    4       784
    202  0.22354916E+02  0.24706E+00    4       788
    203  0.22601980E+02  0.24706E+00    4       792
    204  0.22849045E+02  0.24706E+00    4       796
    205  0.23096109E+02  0.24706E+00    4       800
    206  0.23343173E+02  0.24706E+00    4       804
    207  0.23590238E+02  0.24706E+00    4       808
    208  0.23837302E+02  0.24706E+00    4       812
    209  0.24084367E+02  0.24706E+00    4       816
    210  0.24331431E+02  0.24706E+00    4       820
    211  0.24578495E+02  0.24706E+00    4       824
    212  0.24825560E+02  0.24706E+00    4       828
    213  0.25072624E+02  0.24706E+00    4       832
    214  0.25319688E+02  0.24706E+00    4       836
    215  0.25566753E+02  0.24706E+00    4       840
    216  0.25813817E+02  0.24706E+00    4       844
    217  0.26060881E+02  0.24706E+00    4       848
    218  0.26307946E+02  0.24706E+00    4       852
    219  0.26555010E+02  0.24706E+00    4       856
    220  0.26802074E+02  0.24706E+00    4       860
    221  0.27049139E+02  0.24706E+00    4       864
    222  0.27296203E+02  0.24706E+00    4       868
    223  0.27543267E+02  0.24706E+00    4       872
    224  0.27788941E+02  0.24567E+00    4       876
    225  0.28034614E+02  0.24567E+00    4       880
    226  0.28280287E+02  0.24567E+00    4       884
    227  0.28525960E+02  0.24567E+00    4       888
    228  0.28771634E+02  0.24567E+00    4       892
    229  0.29017307E+02  0.24567E+00    4       896
    230  0.29262980E+02  0.24567E+00    4       900
    231  0.29508653E+02  0.24567E+00    4       904
    232  0.29754327E+02  0.24567E+00    4       908
    233  0.30000000E+02  0.24567E+00    4       912
    234  0.30247064E+02  0.24706E+00    4       916
    235  0.30494129E+02  0.24706E+00    4       920
    236  0.30741193E+02  0.24706E+00    4       924
    237  0.30988257E+02  0.24706E+00    4       928
    238  0.31235322E+02  0.24706E+00    4       932
    239  0.31482386E+02  0.24706E+00    4       936
    240  0.31729450E+02  0.24706E+00    4       940
    241  0.31976515E+02  0.24706E+00    4       944
    242  0.32223579E+02  0.24706E+00    4       948
    243  0.32470644E+02  0.24706E+00    4       952
    244  0.32717708E+02  0.24706E+00    4       956
    245  0.32964772E+02  0.24706E+00    3       959
    246  0.33285956E+02  0.32118E+00    4       963
    247  0.33607140E+02  0.32118E+00    4       967
    248  0.33928323E+02  0.32118E+00    4       971
    249  0.34249507E+02  0.32118E+00    4       975
    250  0.34570690E+02  0.32118E+00    4       979
    251  0.34891874E+02  0.32118E+00    4       983
    252  0.35213058E+02  0.32118E+00    4       987
    253  0.35534241E+02  0.32118E+00    4       991
    254  0.35855425E+02  0.32118E+00    4       995
    255  0.36176609E+02  0.32118E+00    4       999
    256  0.36497792E+02  0.32118E+00    4      1003
    257  0.36818976E+02  0.32118E+00    4      1007
    258  0.37140160E+02  0.32118E+00    4      1011
    259  0.37461343E+02  0.32118E+00    4      1015
    260  0.37782527E+02  0.32118E+00    4      1019
    261  0.38103711E+02  0.32118E+00    4      1023
    262  0.38424894E+02  0.32118E+00    4      1027
    263  0.38746078E+02  0.32118E+00    4      1031
    264  0.39067262E+02  0.32118E+00    4      1035
    265  0.39388445E+02  0.32118E+00    4      1039
    266  0.39709629E+02  0.32118E+00    4      1043
    267  0.40030813E+02  0.32118E+00    4      1047
    268  0.40351996E+02  0.32118E+00    4      1051
    269  0.40673180E+02  0.32118E+00    4      1055
    270  0.40994364E+02  0.32118E+00    4      1059
    271  0.41315547E+02  0.32118E+00    4      1063
    272  0.41636731E+02  0.32118E+00    4      1067
    273  0.41957914E+02  0.32118E+00    4      1071
    274  0.42279098E+02  0.32118E+00    4      1075
    275  0.42600282E+02  0.32118E+00    4      1079
    276  0.42921465E+02  0.32118E+00    4      1083
    277  0.43242649E+02  0.32118E+00    4      1087
    278  0.43563833E+02  0.32118E+00    4      1091
    279  0.43885016E+02  0.32118E+00    4      1095
    280  0.44206200E+02  0.32118E+00    4      1099
    281  0.44527384E+02  0.32118E+00    4      1103
    282  0.44848567E+02  0.32118E+00    4      1107
    283  0.45169751E+02  0.32118E+00    4      1111
    284  0.45490935E+02  0.32118E+00    4      1115
    285  0.45812118E+02  0.32118E+00    4      1119
    286  0.46133302E+02  0.32118E+00    4      1123
    287  0.46454486E+02  0.32118E+00    4      1127
    288  0.46775669E+02  0.32118E+00    4      1131
