 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -17.9        0.0      -17.6        0.0        0.0        0.0      -18.7        0.0        0.0        0.0
         0.0020      -17.9        0.0      -17.4        0.0        0.0        0.0      -19.3        0.0        0.0        0.0
         0.0030      -17.9        0.0      -17.2        0.0        0.0        0.0      -19.7        0.0        0.0        0.0
         0.0043      -17.9        0.0      -16.9        0.0        0.0        0.0      -20.2        0.0        0.0        0.0
         0.0060      -17.9        0.0      -16.6        0.0        0.0        0.0      -20.6        0.0        0.0        0.0
         0.0082      -17.9        0.0      -16.2        0.0        0.0        0.0      -21.0        0.0        0.0        0.0
         0.0110      -17.9        0.0      -15.8        0.0        0.0        0.0      -21.5        0.0        0.0        0.0
         0.0148      -17.9        0.0      -15.2        0.0        0.0        0.0      -22.0        0.0        0.0        0.0
         0.0196      -18.0        0.0      -14.6        0.0        0.0        0.0      -22.5        0.0        0.0        0.0
         0.0259      -18.0        0.0      -14.0        0.0        0.0        0.0      -23.0        0.0        0.0        0.0
         0.0340      -18.0        0.0      -13.3        0.0        0.0        0.0      -23.5        0.0        0.0        0.0
         0.0446      -18.1        0.0      -12.7        0.0        0.0        0.0      -24.0        0.0        0.0        0.0
         0.0584      -18.1        0.0      -12.1        0.0        0.0        0.0      -24.6        0.0        0.0        0.0
         0.0722      -18.2        0.0      -11.7        0.0        0.0        0.0      -25.0        0.0        0.0        0.0
         0.0860      -18.3        0.0      -11.4        0.0        0.0        0.0      -25.4        0.0        0.0        0.0
         0.0998      -18.3        0.0      -11.2        0.0        0.0        0.0      -25.7        0.0        0.0        0.0
         0.1135      -18.4        0.0      -11.1        0.0        0.0        0.0      -26.0        0.0        0.0        0.0
         0.1315      -18.5        0.0      -10.9        0.0        0.0        0.0      -26.3        0.0        0.0        0.0
         0.1494      -18.6        0.0      -10.8        0.0        0.0        0.0      -26.5        0.0        0.0        0.0
         0.1673      -18.7        0.0      -10.7        0.0        0.0        0.0      -26.8        0.0        0.0        0.0
         0.1852      -18.8        0.0      -10.6        0.0        0.0        0.0      -27.0        0.0        0.0        0.0
         0.2032      -18.9        0.0      -10.6        0.0        0.0        0.0      -27.2        0.0        0.0        0.0
         0.2211      -18.9        0.0      -10.5        0.0        0.0        0.0      -27.4        0.0        0.0        0.0
         0.2444      -19.1        0.0      -10.5        0.0        0.0        0.0      -27.6        0.0        0.0        0.0
         0.2677      -19.2        0.0      -10.4        0.0        0.0        0.0      -27.8        0.0        0.0        0.0
         0.2910      -19.3        0.0      -10.4        0.0        0.0        0.0      -27.9        0.0        0.0        0.0
         0.3143      -19.4        0.0      -10.3        0.0        0.0        0.0      -28.1        0.0        0.0        0.0
         0.3376      -19.5        0.0      -10.3        0.0        0.0        0.0      -28.3        0.0        0.0        0.0
         0.3609      -19.6        0.0      -10.2        0.0        0.0        0.0      -28.4        0.0        0.0        0.0
         0.3842      -19.7        0.0      -10.2        0.0        0.0        0.0      -28.6        0.0        0.0        0.0
         0.4075      -19.8        0.0      -10.2        0.0        0.0        0.0      -28.7        0.0        0.0        0.0
         0.4308      -19.9        0.0      -10.1        0.0        0.0        0.0      -28.8        0.0        0.0        0.0
         0.4541      -20.0        0.0      -10.1        0.0        0.0        0.0      -29.0        0.0        0.0        0.0
         0.4843      -20.2        0.0      -10.1        0.0        0.0        0.0      -29.1        0.0        0.0        0.0
         0.5146      -20.3        0.0      -10.0        0.0        0.0        0.0      -29.3        0.0        0.0        0.0
         0.5449      -20.4        0.0      -10.0        0.0        0.0        0.0      -29.4        0.0        0.0        0.0
         0.5752      -20.6        0.0      -10.0        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         0.6055      -20.7        0.0       -9.9        0.0        0.0        0.0      -29.7        0.0        0.0        0.0
         0.6358      -20.8        0.0       -9.9        0.0        0.0        0.0      -29.8        0.0        0.0        0.0
         0.6661      -20.9        0.0       -9.9        0.0        0.0        0.0      -30.0        0.0        0.0        0.0
         0.6964      -21.0        0.0       -9.8        0.0        0.0        0.0      -30.1        0.0        0.0        0.0
         0.7266      -21.1        0.0       -9.8        0.0        0.0        0.0      -30.2        0.0        0.0        0.0
         0.7569      -21.2        0.0       -9.8        0.0        0.0        0.0      -30.3        0.0        0.0        0.0
         0.7872      -21.3        0.0       -9.7        0.0        0.0        0.0      -30.5        0.0        0.0        0.0
         0.8175      -21.4        0.0       -9.7        0.0        0.0        0.0      -30.6        0.0        0.0        0.0
         0.8478      -21.5        0.0       -9.7        0.0        0.0        0.0      -30.7        0.0        0.0        0.0
         0.8781      -21.6        0.0       -9.7        0.0        0.0        0.0      -30.8        0.0        0.0        0.0
         0.9084      -21.7        0.0       -9.6        0.0        0.0        0.0      -30.9        0.0        0.0        0.0
         0.9477      -21.9        0.0       -9.6        0.0        0.0        0.0      -31.0        0.0        0.0        0.0
         0.9871      -22.0        0.0       -9.6        0.0        0.0        0.0      -31.2        0.0        0.0        0.0
         1.0265      -22.1        0.0       -9.5        0.0        0.0        0.0      -31.3        0.0        0.0        0.0
         1.0659      -22.2        0.0       -9.5        0.0        0.0        0.0      -31.4        0.0        0.0        0.0
         1.1052      -22.3        0.0       -9.5        0.0        0.0        0.0      -31.6        0.0        0.0        0.0
         1.1446      -22.4        0.0       -9.4        0.0        0.0        0.0      -31.7        0.0        0.0        0.0
         1.1840      -22.5        0.0       -9.4        0.0        0.0        0.0      -31.8        0.0        0.0        0.0
         1.2234      -22.6        0.0       -9.4        0.0        0.0        0.0      -31.9        0.0        0.0        0.0
         1.2627      -22.7        0.0       -9.3        0.0        0.0        0.0      -32.1        0.0        0.0        0.0
         1.3021      -22.8        0.0       -9.3        0.0        0.0        0.0      -32.2        0.0        0.0        0.0
         1.3415      -22.9        0.0       -9.3        0.0        0.0        0.0      -32.3        0.0        0.0        0.0
         1.3809      -23.0        0.0       -9.2        0.0        0.0        0.0      -32.4        0.0        0.0        0.0
         1.4320      -23.1        0.0       -9.2        0.0        0.0        0.0      -32.5        0.0        0.0        0.0
         1.4832      -23.2        0.0       -9.2        0.0        0.0        0.0      -32.7        0.0        0.0        0.0
         1.5344      -23.3        0.0       -9.1        0.0        0.0        0.0      -32.8        0.0        0.0        0.0
         1.5856      -23.4        0.0       -9.1        0.0        0.0        0.0      -33.0        0.0        0.0        0.0
         1.6368      -23.5        0.0       -9.0        0.0        0.0        0.0      -33.1        0.0        0.0        0.0
         1.6880      -23.6        0.0       -9.0        0.0        0.0        0.0      -33.2        0.0        0.0        0.0
         1.7392      -23.7        0.0       -9.0        0.0        0.0        0.0      -33.4        0.0        0.0        0.0
         1.7903      -23.8        0.0       -8.9        0.0        0.0        0.0      -33.5        0.0        0.0        0.0
         1.8415      -23.9        0.0       -8.9        0.0        0.0        0.0      -33.6        0.0        0.0        0.0
         1.9081      -24.0        0.0       -8.9        0.0        0.0        0.0      -33.8        0.0        0.0        0.0
         1.9746      -24.1        0.0       -8.8        0.0        0.0        0.0      -33.9        0.0        0.0        0.0
         2.0412      -24.2        0.0       -8.8        0.0        0.0        0.0      -34.1        0.0        0.0        0.0
