Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5423.4,0.0,-1565.5,,
5.0,37804.0,5761.7,67.491,-468.67,0.90448,0.098
15.0,37804.0,6436.5,67.478,-389.68,0.71596,0.044
30.0,37804.0,7448.8,67.5,-272.37,0.51971,0.02
60.0,37804.0,9230.6,43.806,-87.908,0.22477,0.005
120.0,37804.0,9019.7,-0.13727,-30.081,0.77847,0.017
180.0,37804.0,9016.8,-0.022561,-26.898,0.85076,0.019
240.0,37804.0,9016.0,-0.012257,-26.597,0.92029,0.02
500.0,37804.0,9013.5,-0.0085885,-27.47,1.0355,0.023
720.0,37804.0,9011.8,-0.0074241,-28.132,1.0489,0.023
1440.0,37804.0,9011.7,-0.0028552,-29.231,4.848,0.107
2160.0,37804.0,9009.3,-0.0036631,-29.585,5.5417,0.123
2880.0,37804.0,9006.6,-0.0037704,-29.728,5.6445,0.125
