Time_T,CumQAP_L3,CumQRP_L3,CumQA_L3,CumQR_L3,CumQ3_L3,CumQ1_L3,CumQS_L3,CumQ5_L3,CumQ6_L3,CumQ7_L3,CumQ8_L3,CumQ9_L3,CRunOff_L3,cEvapor_L3,cInfiltr_L3,hAtm_L,hRoot_L,hKode3_L,hKode1_L,hSeep_L,hKode5_L,hKode6_L,hKode7_L,hKode8_L,hKode9_L,rAtm_LpT,rRoot_LpT,vAtm_LpT,vRoot_LpT,vKode3_L3pT,vKode1_L3pT,vSeep_L3pT,vKode5_L3pT,vKode6_L3pT,vKode7_L3pT,vKode8_L3pT,vKode9_L3pT,RunOff_LpT,Evapor_LpT,Infiltr_LpT,SnowLayer_L,dt,Iter,ItCum
0.001,0.0,0.0,0.0,0.0,-0.0675,0.0,0.0,0.0,0.0009550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,0.0,-17.6,0.0,0.0,0.0,-19.3,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5,5
0.002,0.0,0.0,0.0,0.0,-0.135,0.0,0.0,0.0,0.00156,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,0.0,-17.4,0.0,0.0,0.0,-20.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4,9
0.003,0.0,0.0,0.0,0.0,-0.203,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,0.0,-17.2,0.0,0.0,0.0,-20.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3,12
0.0043,0.0,0.0,0.0,0.0,-0.29,0.0,0.0,0.0,0.0025399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,0.0,-17.0,0.0,0.0,0.0,-21.3,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,3,15
0.006,0.0,0.0,0.0,0.0,-0.40399999999999997,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,0.0,-16.7,0.0,0.0,0.0,-21.8,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016899999999999999,3,18
0.0082,0.0,0.0,0.0,0.0,-0.5529999999999999,0.0,0.0,0.0,0.00372,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-16.3,0.0,0.0,0.0,-22.4,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.28300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021969999999999997,3,21
0.011,0.0,0.0,0.0,0.0,-0.745,0.0,0.0,0.0,0.00442,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-15.9,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028561,3,24
0.0148,0.0,0.0,0.0,0.0,-0.996,0.0,0.0,0.0,0.00519,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-15.5,0.0,0.0,0.0,-23.5,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.20800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037129,3,27
0.0196,0.0,0.0,0.0,0.0,-1.32,0.0,0.0,0.0,0.00606,0.0,0.0,0.0,0.0,0.0,0.0,-18.1,0.0,-15.0,0.0,0.0,0.0,-24.1,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048268,3,30
0.0259,0.0,0.0,0.0,0.0,-1.75,0.0,0.0,0.0,0.00703,0.0,0.0,0.0,0.0,0.0,0.0,-18.2,0.0,-14.5,0.0,0.0,0.0,-24.7,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,-67.5,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062749,3,33
