

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    5         5
      2  0.20000001E-02  0.10000E-02    4         9
      3  0.30000001E-02  0.10000E-02    3        12
      4  0.43000001E-02  0.13000E-02    3        15
      5  0.59900001E-02  0.16900E-02    3        18
      6  0.81870001E-02  0.21970E-02    3        21
      7  0.11043100E-01  0.28561E-02    3        24
      8  0.14756029E-01  0.37129E-02    3        27
      9  0.19582838E-01  0.48268E-02    3        30
     10  0.25857688E-01  0.62749E-02    3        33
     11  0.34014994E-01  0.81573E-02    3        36
     12  0.44619491E-01  0.10604E-01    3        39
     13  0.58405336E-01  0.13786E-01    4        43
     14  0.72191182E-01  0.13786E-01    4        47
     15  0.85977028E-01  0.13786E-01    3        50
     16  0.10389863E+00  0.17922E-01    4        54
     17  0.12182022E+00  0.17922E-01    4        58
     18  0.13974182E+00  0.17922E-01    4        62
     19  0.15766342E+00  0.17922E-01    4        66
     20  0.17558502E+00  0.17922E-01    4        70
     21  0.19350662E+00  0.17922E-01    3        73
     22  0.21680470E+00  0.23298E-01    4        77
     23  0.24010277E+00  0.23298E-01    4        81
     24  0.26340085E+00  0.23298E-01    4        85
     25  0.28669893E+00  0.23298E-01    4        89
     26  0.30999701E+00  0.23298E-01    4        93
     27  0.33329508E+00  0.23298E-01    4        97
     28  0.35659316E+00  0.23298E-01    4       101
     29  0.37989124E+00  0.23298E-01    4       105
     30  0.40318931E+00  0.23298E-01    4       109
     31  0.42648739E+00  0.23298E-01    4       113
     32  0.44978547E+00  0.23298E-01    4       117
     33  0.47308355E+00  0.23298E-01    4       121
     34  0.49638162E+00  0.23298E-01    3       124
     35  0.52666912E+00  0.30287E-01    4       128
     36  0.55695662E+00  0.30287E-01    4       132
     37  0.58724412E+00  0.30287E-01    4       136
     38  0.61753162E+00  0.30287E-01    4       140
     39  0.64781912E+00  0.30287E-01    4       144
     40  0.67810662E+00  0.30287E-01    4       148
     41  0.70839411E+00  0.30287E-01    4       152
     42  0.73868161E+00  0.30287E-01    4       156
     43  0.76896911E+00  0.30287E-01    4       160
     44  0.79925661E+00  0.30287E-01    4       164
     45  0.82954411E+00  0.30287E-01    4       168
     46  0.85983161E+00  0.30287E-01    4       172
     47  0.89011911E+00  0.30287E-01    3       175
     48  0.92949285E+00  0.39374E-01    4       179
     49  0.96886660E+00  0.39374E-01    4       183
     50  0.10082403E+01  0.39374E-01    4       187
     51  0.10476141E+01  0.39374E-01    4       191
     52  0.10869878E+01  0.39374E-01    4       195
     53  0.11263616E+01  0.39374E-01    4       199
     54  0.11657353E+01  0.39374E-01    4       203
     55  0.12051091E+01  0.39374E-01    4       207
     56  0.12444828E+01  0.39374E-01    4       211
     57  0.12838566E+01  0.39374E-01    3       214
     58  0.13350425E+01  0.51186E-01    4       218
     59  0.13862283E+01  0.51186E-01    4       222
     60  0.14374142E+01  0.51186E-01    4       226
     61  0.14886001E+01  0.51186E-01    4       230
     62  0.15397859E+01  0.51186E-01    4       234
     63  0.15909718E+01  0.51186E-01    4       238
     64  0.16421577E+01  0.51186E-01    3       241
     65  0.17086993E+01  0.66542E-01    4       245
     66  0.17752409E+01  0.66542E-01    4       249
     67  0.18417825E+01  0.66542E-01    4       253
     68  0.19083242E+01  0.66542E-01    4       257
     69  0.19748658E+01  0.66542E-01    4       261
     70  0.20414074E+01  0.66542E-01    4       265
     71  0.21079491E+01  0.66542E-01    3       268
     72  0.21944532E+01  0.86504E-01    4       272
     73  0.22809573E+01  0.86504E-01    4       276
     74  0.23674614E+01  0.86504E-01    4       280
     75  0.24539655E+01  0.86504E-01    4       284
     76  0.25404696E+01  0.86504E-01    4       288
     77  0.26269737E+01  0.86504E-01    4       292
     78  0.27134778E+01  0.86504E-01    4       296
     79  0.27999819E+01  0.86504E-01    4       300
     80  0.28864860E+01  0.86504E-01    4       304
     81  0.29729901E+01  0.86504E-01    4       308
     82  0.30594943E+01  0.86504E-01    4       312
     83  0.31459984E+01  0.86504E-01    4       316
     84  0.32325025E+01  0.86504E-01    4       320
     85  0.33190066E+01  0.86504E-01    3       323
     86  0.34314619E+01  0.11246E+00    4       327
     87  0.35439173E+01  0.11246E+00    4       331
     88  0.36563726E+01  0.11246E+00    4       335
     89  0.37688279E+01  0.11246E+00    4       339
     90  0.38812833E+01  0.11246E+00    4       343
     91  0.39931550E+01  0.11187E+00    4       347
     92  0.41050266E+01  0.11187E+00    4       351
     93  0.42168983E+01  0.11187E+00    4       355
     94  0.43287700E+01  0.11187E+00    4       359
     95  0.44406416E+01  0.11187E+00    4       363
     96  0.45525133E+01  0.11187E+00    4       367
     97  0.46643850E+01  0.11187E+00    4       371
     98  0.47762566E+01  0.11187E+00    4       375
     99  0.48881283E+01  0.11187E+00    4       379
    100  0.50000000E+01  0.11187E+00    4       383
    101  0.51124553E+01  0.11246E+00    4       387
    102  0.52249107E+01  0.11246E+00    4       391
    103  0.53373660E+01  0.11246E+00    4       395
    104  0.54498214E+01  0.11246E+00    4       399
    105  0.55622767E+01  0.11246E+00    4       403
    106  0.56747320E+01  0.11246E+00    4       407
    107  0.57871874E+01  0.11246E+00    4       411
    108  0.58996427E+01  0.11246E+00    4       415
    109  0.60120980E+01  0.11246E+00    4       419
    110  0.61245534E+01  0.11246E+00    4       423
    111  0.62370087E+01  0.11246E+00    3       426
    112  0.63832007E+01  0.14619E+00    4       430
    113  0.65293926E+01  0.14619E+00    4       434
    114  0.66755845E+01  0.14619E+00    4       438
    115  0.68217765E+01  0.14619E+00    4       442
    116  0.69679684E+01  0.14619E+00    4       446
    117  0.71141604E+01  0.14619E+00    4       450
    118  0.72603523E+01  0.14619E+00    4       454
    119  0.74065442E+01  0.14619E+00    4       458
    120  0.75527362E+01  0.14619E+00    4       462
    121  0.76989281E+01  0.14619E+00    4       466
    122  0.78451201E+01  0.14619E+00    4       470
    123  0.79913120E+01  0.14619E+00    4       474
    124  0.81375039E+01  0.14619E+00    4       478
    125  0.82836959E+01  0.14619E+00    4       482
    126  0.84298878E+01  0.14619E+00    4       486
    127  0.85760798E+01  0.14619E+00    4       490
    128  0.87222717E+01  0.14619E+00    4       494
    129  0.88684636E+01  0.14619E+00    4       498
    130  0.90146556E+01  0.14619E+00    4       502
    131  0.91608475E+01  0.14619E+00    4       506
    132  0.93070395E+01  0.14619E+00    4       510
    133  0.94532314E+01  0.14619E+00    4       514
    134  0.95994233E+01  0.14619E+00    4       518
    135  0.97456153E+01  0.14619E+00    4       522
    136  0.98918072E+01  0.14619E+00    4       526
    137  0.10037999E+02  0.14619E+00    4       530
    138  0.10184191E+02  0.14619E+00    4       534
    139  0.10330383E+02  0.14619E+00    4       538
    140  0.10476575E+02  0.14619E+00    4       542
    141  0.10622767E+02  0.14619E+00    4       546
    142  0.10768959E+02  0.14619E+00    4       550
    143  0.10915151E+02  0.14619E+00    3       553
    144  0.11105200E+02  0.19005E+00    4       557
    145  0.11295250E+02  0.19005E+00    4       561
    146  0.11485299E+02  0.19005E+00    4       565
    147  0.11675349E+02  0.19005E+00    4       569
    148  0.11865398E+02  0.19005E+00    4       573
    149  0.12055448E+02  0.19005E+00    4       577
    150  0.12245497E+02  0.19005E+00    4       581
    151  0.12435547E+02  0.19005E+00    4       585
    152  0.12625596E+02  0.19005E+00    4       589
    153  0.12815646E+02  0.19005E+00    4       593
    154  0.13005695E+02  0.19005E+00    4       597
    155  0.13205126E+02  0.19943E+00    4       601
    156  0.13404556E+02  0.19943E+00    4       605
    157  0.13603987E+02  0.19943E+00    4       609
    158  0.13803417E+02  0.19943E+00    4       613
    159  0.14002848E+02  0.19943E+00    4       617
    160  0.14202278E+02  0.19943E+00    4       621
    161  0.14401709E+02  0.19943E+00    4       625
    162  0.14601139E+02  0.19943E+00    4       629
    163  0.14800570E+02  0.19943E+00    4       633
    164  0.15000000E+02  0.19943E+00    4       637
    165  0.15190050E+02  0.19005E+00    4       641
    166  0.15380099E+02  0.19005E+00    4       645
    167  0.15570149E+02  0.19005E+00    4       649
    168  0.15760198E+02  0.19005E+00    4       653
    169  0.15950248E+02  0.19005E+00    4       657
    170  0.16140297E+02  0.19005E+00    4       661
    171  0.16330347E+02  0.19005E+00    4       665
    172  0.16520396E+02  0.19005E+00    4       669
    173  0.16710446E+02  0.19005E+00    4       673
    174  0.16900495E+02  0.19005E+00    4       677
    175  0.17090545E+02  0.19005E+00    4       681
    176  0.17280594E+02  0.19005E+00    4       685
    177  0.17470644E+02  0.19005E+00    4       689
    178  0.17660693E+02  0.19005E+00    4       693
    179  0.17850743E+02  0.19005E+00    4       697
    180  0.18040792E+02  0.19005E+00    4       701
    181  0.18230842E+02  0.19005E+00    4       705
    182  0.18420891E+02  0.19005E+00    4       709
    183  0.18610941E+02  0.19005E+00    4       713
    184  0.18800990E+02  0.19005E+00    4       717
    185  0.18991040E+02  0.19005E+00    4       721
    186  0.19181089E+02  0.19005E+00    4       725
    187  0.19371139E+02  0.19005E+00    4       729
    188  0.19561188E+02  0.19005E+00    3       732
    189  0.19808253E+02  0.24706E+00    4       736
    190  0.20055317E+02  0.24706E+00    4       740
    191  0.20302381E+02  0.24706E+00    4       744
    192  0.20549446E+02  0.24706E+00    4       748
    193  0.20796510E+02  0.24706E+00    4       752
    194  0.21043574E+02  0.24706E+00    4       756
    195  0.21290639E+02  0.24706E+00    4       760
    196  0.21537703E+02  0.24706E+00    4       764
    197  0.21784768E+02  0.24706E+00    4       768
    198  0.22031832E+02  0.24706E+00    4       772
    199  0.22278896E+02  0.24706E+00    4       776
    200  0.22525961E+02  0.24706E+00    4       780
    201  0.22773025E+02  0.24706E+00    4       784
    202  0.23020089E+02  0.24706E+00    4       788
    203  0.23267154E+02  0.24706E+00    4       792
    204  0.23514218E+02  0.24706E+00    4       796
    205  0.23761282E+02  0.24706E+00    4       800
    206  0.24008347E+02  0.24706E+00    4       804
    207  0.24255411E+02  0.24706E+00    4       808
    208  0.24502475E+02  0.24706E+00    4       812
    209  0.24749540E+02  0.24706E+00    4       816
    210  0.24996604E+02  0.24706E+00    4       820
    211  0.25243668E+02  0.24706E+00    4       824
    212  0.25490733E+02  0.24706E+00    4       828
    213  0.25737797E+02  0.24706E+00    4       832
    214  0.25984861E+02  0.24706E+00    4       836
    215  0.26231926E+02  0.24706E+00    4       840
    216  0.26478990E+02  0.24706E+00    4       844
    217  0.26726055E+02  0.24706E+00    4       848
    218  0.26973119E+02  0.24706E+00    4       852
    219  0.27220183E+02  0.24706E+00    4       856
    220  0.27467248E+02  0.24706E+00    4       860
    221  0.27720523E+02  0.25328E+00    4       864
    222  0.27973798E+02  0.25328E+00    4       868
    223  0.28227073E+02  0.25328E+00    4       872
    224  0.28480349E+02  0.25328E+00    4       876
    225  0.28733624E+02  0.25328E+00    4       880
    226  0.28986899E+02  0.25328E+00    4       884
    227  0.29240174E+02  0.25328E+00    4       888
    228  0.29493450E+02  0.25328E+00    4       892
    229  0.29746725E+02  0.25328E+00    4       896
    230  0.30000000E+02  0.25328E+00    4       900
    231  0.30247064E+02  0.24706E+00    4       904
    232  0.30494129E+02  0.24706E+00    4       908
    233  0.30741193E+02  0.24706E+00    3       911
    234  0.31062377E+02  0.32118E+00    4       915
    235  0.31383560E+02  0.32118E+00    4       919
    236  0.31704744E+02  0.32118E+00    4       923
    237  0.32025928E+02  0.32118E+00    4       927
    238  0.32347111E+02  0.32118E+00    4       931
    239  0.32668295E+02  0.32118E+00    4       935
    240  0.32989479E+02  0.32118E+00    4       939
    241  0.33310662E+02  0.32118E+00    4       943
    242  0.33631846E+02  0.32118E+00    4       947
    243  0.33953030E+02  0.32118E+00    4       951
    244  0.34274213E+02  0.32118E+00    4       955
    245  0.34595397E+02  0.32118E+00    4       959
    246  0.34916581E+02  0.32118E+00    4       963
    247  0.35237764E+02  0.32118E+00    4       967
    248  0.35558948E+02  0.32118E+00    4       971
    249  0.35880131E+02  0.32118E+00    4       975
    250  0.36201315E+02  0.32118E+00    4       979
    251  0.36522499E+02  0.32118E+00    4       983
    252  0.36843682E+02  0.32118E+00    4       987
    253  0.37164866E+02  0.32118E+00    4       991
    254  0.37486050E+02  0.32118E+00    4       995
    255  0.37807233E+02  0.32118E+00    4       999
    256  0.38128417E+02  0.32118E+00    4      1003
    257  0.38449601E+02  0.32118E+00    4      1007
    258  0.38770784E+02  0.32118E+00    4      1011
    259  0.39091968E+02  0.32118E+00    4      1015
    260  0.39413152E+02  0.32118E+00    4      1019
    261  0.39734335E+02  0.32118E+00    4      1023
    262  0.40055519E+02  0.32118E+00    4      1027
    263  0.40376703E+02  0.32118E+00    4      1031
    264  0.40697886E+02  0.32118E+00    4      1035
    265  0.41019070E+02  0.32118E+00    4      1039
    266  0.41340254E+02  0.32118E+00    4      1043
    267  0.41661437E+02  0.32118E+00    4      1047
    268  0.41982621E+02  0.32118E+00    4      1051
    269  0.42303805E+02  0.32118E+00    4      1055
    270  0.42624988E+02  0.32118E+00    4      1059
    271  0.42946172E+02  0.32118E+00    4      1063
    272  0.43267355E+02  0.32118E+00    3      1066
    273  0.43684894E+02  0.41754E+00    4      1070
    274  0.44102433E+02  0.41754E+00    3      1073
    275  0.44645233E+02  0.54280E+00    4      1077
    276  0.45188034E+02  0.54280E+00    3      1080
    277  0.45893674E+02  0.70564E+00    4      1084
    278  0.46599314E+02  0.70564E+00    3      1087
    279  0.47516647E+02  0.91733E+00    4      1091
    280  0.48433979E+02  0.91733E+00    3      1094
    281  0.49590581E+02  0.11566E+01    4      1098
    282  0.50747184E+02  0.11566E+01    4      1102
    283  0.51903786E+02  0.11566E+01    4      1106
    284  0.53060388E+02  0.11566E+01    4      1110
    285  0.54216990E+02  0.11566E+01    4      1114
    286  0.55373592E+02  0.11566E+01    3      1117
    287  0.56915728E+02  0.15421E+01    4      1121
    288  0.58457864E+02  0.15421E+01    4      1125
