 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -17.9        0.0      -17.6        0.0        0.0        0.0      -19.3        0.0        0.0        0.0
         0.0020      -17.9        0.0      -17.4        0.0        0.0        0.0      -20.1        0.0        0.0        0.0
         0.0030      -17.9        0.0      -17.2        0.0        0.0        0.0      -20.7        0.0        0.0        0.0
         0.0043      -17.9        0.0      -17.0        0.0        0.0        0.0      -21.3        0.0        0.0        0.0
         0.0060      -17.9        0.0      -16.7        0.0        0.0        0.0      -21.8        0.0        0.0        0.0
         0.0082      -18.0        0.0      -16.3        0.0        0.0        0.0      -22.4        0.0        0.0        0.0
         0.0110      -18.0        0.0      -15.9        0.0        0.0        0.0      -23.0        0.0        0.0        0.0
         0.0148      -18.0        0.0      -15.5        0.0        0.0        0.0      -23.5        0.0        0.0        0.0
         0.0196      -18.1        0.0      -15.0        0.0        0.0        0.0      -24.1        0.0        0.0        0.0
         0.0259      -18.2        0.0      -14.5        0.0        0.0        0.0      -24.7        0.0        0.0        0.0
         0.0340      -18.3        0.0      -14.0        0.0        0.0        0.0      -25.3        0.0        0.0        0.0
         0.0446      -18.4        0.0      -13.6        0.0        0.0        0.0      -25.8        0.0        0.0        0.0
         0.0584      -18.6        0.0      -13.3        0.0        0.0        0.0      -26.4        0.0        0.0        0.0
         0.0722      -18.8        0.0      -13.1        0.0        0.0        0.0      -26.8        0.0        0.0        0.0
         0.0860      -19.0        0.0      -12.9        0.0        0.0        0.0      -27.2        0.0        0.0        0.0
         0.1039      -19.2        0.0      -12.8        0.0        0.0        0.0      -27.6        0.0        0.0        0.0
         0.1218      -19.4        0.0      -12.7        0.0        0.0        0.0      -27.9        0.0        0.0        0.0
         0.1397      -19.6        0.0      -12.6        0.0        0.0        0.0      -28.2        0.0        0.0        0.0
         0.1577      -19.8        0.0      -12.6        0.0        0.0        0.0      -28.5        0.0        0.0        0.0
         0.1756      -20.1        0.0      -12.5        0.0        0.0        0.0      -28.8        0.0        0.0        0.0
         0.1935      -20.3        0.0      -12.5        0.0        0.0        0.0      -29.0        0.0        0.0        0.0
         0.2168      -20.5        0.0      -12.4        0.0        0.0        0.0      -29.3        0.0        0.0        0.0
         0.2401      -20.7        0.0      -12.4        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         0.2634      -21.0        0.0      -12.3        0.0        0.0        0.0      -29.8        0.0        0.0        0.0
         0.2867      -21.2        0.0      -12.3        0.0        0.0        0.0      -30.1        0.0        0.0        0.0
         0.3100      -21.4        0.0      -12.2        0.0        0.0        0.0      -30.3        0.0        0.0        0.0
         0.3333      -21.6        0.0      -12.2        0.0        0.0        0.0      -30.5        0.0        0.0        0.0
         0.3566      -21.8        0.0      -12.2        0.0        0.0        0.0      -30.8        0.0        0.0        0.0
         0.3799      -22.0        0.0      -12.1        0.0        0.0        0.0      -31.0        0.0        0.0        0.0
         0.4032      -22.2        0.0      -12.1        0.0        0.0        0.0      -31.2        0.0        0.0        0.0
         0.4265      -22.4        0.0      -12.0        0.0        0.0        0.0      -31.4        0.0        0.0        0.0
         0.4498      -22.5        0.0      -12.0        0.0        0.0        0.0      -31.5        0.0        0.0        0.0
         0.4731      -22.7        0.0      -12.0        0.0        0.0        0.0      -31.7        0.0        0.0        0.0
         0.4964      -22.9        0.0      -11.9        0.0        0.0        0.0      -31.9        0.0        0.0        0.0
         0.5267      -23.1        0.0      -11.9        0.0        0.0        0.0      -32.1        0.0        0.0        0.0
         0.5570      -23.3        0.0      -11.9        0.0        0.0        0.0      -32.3        0.0        0.0        0.0
         0.5872      -23.5        0.0      -11.8        0.0        0.0        0.0      -32.6        0.0        0.0        0.0
         0.6175      -23.7        0.0      -11.8        0.0        0.0        0.0      -32.8        0.0        0.0        0.0
         0.6478      -23.8        0.0      -11.7        0.0        0.0        0.0      -33.0        0.0        0.0        0.0
         0.6781      -24.0        0.0      -11.7        0.0        0.0        0.0      -33.1        0.0        0.0        0.0
         0.7084      -24.2        0.0      -11.7        0.0        0.0        0.0      -33.3        0.0        0.0        0.0
         0.7387      -24.3        0.0      -11.6        0.0        0.0        0.0      -33.5        0.0        0.0        0.0
         0.7690      -24.5        0.0      -11.6        0.0        0.0        0.0      -33.7        0.0        0.0        0.0
         0.7993      -24.6        0.0      -11.6        0.0        0.0        0.0      -33.9        0.0        0.0        0.0
         0.8295      -24.8        0.0      -11.5        0.0        0.0        0.0      -34.0        0.0        0.0        0.0
         0.8598      -24.9        0.0      -11.5        0.0        0.0        0.0      -34.2        0.0        0.0        0.0
         0.8901      -25.1        0.0      -11.4        0.0        0.0        0.0      -34.4        0.0        0.0        0.0
         0.9295      -25.2        0.0      -11.4        0.0        0.0        0.0      -34.6        0.0        0.0        0.0
         0.9689      -25.4        0.0      -11.4        0.0        0.0        0.0      -34.8        0.0        0.0        0.0
         1.0082      -25.6        0.0      -11.3        0.0        0.0        0.0      -35.0        0.0        0.0        0.0
         1.0476      -25.7        0.0      -11.3        0.0        0.0        0.0      -35.1        0.0        0.0        0.0
         1.0870      -25.9        0.0      -11.2        0.0        0.0        0.0      -35.3        0.0        0.0        0.0
         1.1264      -26.0        0.0      -11.2        0.0        0.0        0.0      -35.5        0.0        0.0        0.0
         1.1657      -26.1        0.0      -11.1        0.0        0.0        0.0      -35.7        0.0        0.0        0.0
         1.2051      -26.3        0.0      -11.1        0.0        0.0        0.0      -35.9        0.0        0.0        0.0
         1.2445      -26.4        0.0      -11.1        0.0        0.0        0.0      -36.0        0.0        0.0        0.0
         1.2839      -26.5        0.0      -11.0        0.0        0.0        0.0      -36.2        0.0        0.0        0.0
         1.3350      -26.7        0.0      -11.0        0.0        0.0        0.0      -36.4        0.0        0.0        0.0
         1.3862      -26.8        0.0      -10.9        0.0        0.0        0.0      -36.6        0.0        0.0        0.0
         1.4374      -27.0        0.0      -10.9        0.0        0.0        0.0      -36.8        0.0        0.0        0.0
         1.4886      -27.1        0.0      -10.8        0.0        0.0        0.0      -37.0        0.0        0.0        0.0
         1.5398      -27.3        0.0      -10.8        0.0        0.0        0.0      -37.2        0.0        0.0        0.0
         1.5910      -27.4        0.0      -10.7        0.0        0.0        0.0      -37.4        0.0        0.0        0.0
         1.6422      -27.5        0.0      -10.7        0.0        0.0        0.0      -37.6        0.0        0.0        0.0
         1.7087      -27.7        0.0      -10.6        0.0        0.0        0.0      -37.8        0.0        0.0        0.0
         1.7752      -27.8        0.0      -10.6        0.0        0.0        0.0      -38.0        0.0        0.0        0.0
         1.8418      -28.0        0.0      -10.5        0.0        0.0        0.0      -38.3        0.0        0.0        0.0
         1.9083      -28.1        0.0      -10.5        0.0        0.0        0.0      -38.5        0.0        0.0        0.0
         1.9749      -28.2        0.0      -10.4        0.0        0.0        0.0      -38.7        0.0        0.0        0.0
         2.0414      -28.3        0.0      -10.4        0.0        0.0        0.0      -38.9        0.0        0.0        0.0
         2.1079      -28.5        0.0      -10.3        0.0        0.0        0.0      -39.1        0.0        0.0        0.0
         2.1945      -28.6        0.0      -10.3        0.0        0.0        0.0      -39.3        0.0        0.0        0.0
