Time,Volume,VolumeW,InFlow,hMean,WatBalT,WatBalR
0.0,37804.0,5423.4,0.0,-1565.8,,
5.0,37804.0,5761.3,67.52,-471.92,0.49345,0.055
15.0,37804.0,6436.2,67.487,-397.8,0.41205,0.025
30.0,37804.0,7448.7,67.478,-288.39,0.33429,0.013
60.0,37804.0,9363.3,50.342,-103.76,0.1616,0.004
120.0,37804.0,9145.5,-0.21368,-31.074,1.3457,0.031
180.0,37804.0,9141.0,-0.032811,-26.395,1.4011,0.032
240.0,37804.0,9139.7,-0.019396,-25.817,1.4398,0.033
500.0,37804.0,9136.5,-0.010946,-26.582,1.5604,0.036
720.0,37804.0,9134.4,-0.0091453,-27.28,1.5836,0.036
1440.0,37804.0,9131.1,-0.0030733,-28.472,2.8338,0.064
2160.0,37804.0,9128.4,-0.0041215,-28.844,3.6155,0.082
2880.0,37804.0,9125.4,-0.0042069,-28.99,3.7158,0.084
