

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    5         5
      2  0.20000001E-02  0.10000E-02    4         9
      3  0.30000001E-02  0.10000E-02    3        12
      4  0.43000001E-02  0.13000E-02    3        15
      5  0.59900001E-02  0.16900E-02    3        18
      6  0.81870001E-02  0.21970E-02    3        21
      7  0.11043100E-01  0.28561E-02    3        24
      8  0.14756029E-01  0.37129E-02    3        27
      9  0.19582838E-01  0.48268E-02    3        30
     10  0.25857688E-01  0.62749E-02    3        33
     11  0.34014994E-01  0.81573E-02    3        36
     12  0.44619491E-01  0.10604E-01    3        39
     13  0.58405336E-01  0.13786E-01    4        43
     14  0.72191182E-01  0.13786E-01    4        47
     15  0.85977028E-01  0.13786E-01    4        51
     16  0.99762873E-01  0.13786E-01    3        54
     17  0.11768447E+00  0.17922E-01    4        58
     18  0.13560607E+00  0.17922E-01    4        62
     19  0.15352767E+00  0.17922E-01    4        66
     20  0.17144927E+00  0.17922E-01    3        69
     21  0.19474734E+00  0.23298E-01    4        73
     22  0.21804542E+00  0.23298E-01    4        77
     23  0.24134350E+00  0.23298E-01    4        81
     24  0.26464158E+00  0.23298E-01    4        85
     25  0.28793965E+00  0.23298E-01    4        89
     26  0.31123773E+00  0.23298E-01    4        93
     27  0.33453581E+00  0.23298E-01    3        96
     28  0.36482331E+00  0.30287E-01    4       100
     29  0.39511081E+00  0.30287E-01    4       104
     30  0.42539830E+00  0.30287E-01    4       108
     31  0.45568580E+00  0.30287E-01    4       112
     32  0.48597330E+00  0.30287E-01    4       116
     33  0.51626080E+00  0.30287E-01    4       120
     34  0.54654830E+00  0.30287E-01    4       124
     35  0.57683580E+00  0.30287E-01    4       128
     36  0.60712330E+00  0.30287E-01    4       132
     37  0.63741079E+00  0.30287E-01    4       136
     38  0.66769829E+00  0.30287E-01    4       140
     39  0.69798579E+00  0.30287E-01    4       144
     40  0.72827329E+00  0.30287E-01    3       147
     41  0.76764704E+00  0.39374E-01    4       151
     42  0.80702079E+00  0.39374E-01    4       155
     43  0.84639453E+00  0.39374E-01    4       159
     44  0.88576828E+00  0.39374E-01    4       163
     45  0.92514203E+00  0.39374E-01    4       167
     46  0.96451578E+00  0.39374E-01    4       171
     47  0.10038895E+01  0.39374E-01    4       175
     48  0.10432633E+01  0.39374E-01    4       179
     49  0.10826370E+01  0.39374E-01    4       183
     50  0.11220108E+01  0.39374E-01    4       187
     51  0.11613845E+01  0.39374E-01    3       190
     52  0.12125704E+01  0.51186E-01    4       194
     53  0.12637563E+01  0.51186E-01    4       198
     54  0.13149421E+01  0.51186E-01    4       202
     55  0.13661280E+01  0.51186E-01    4       206
     56  0.14173139E+01  0.51186E-01    4       210
     57  0.14684997E+01  0.51186E-01    4       214
     58  0.15196856E+01  0.51186E-01    4       218
     59  0.15708715E+01  0.51186E-01    3       221
     60  0.16374131E+01  0.66542E-01    4       225
     61  0.17039547E+01  0.66542E-01    4       229
     62  0.17704963E+01  0.66542E-01    4       233
     63  0.18370380E+01  0.66542E-01    4       237
     64  0.19035796E+01  0.66542E-01    4       241
     65  0.19701212E+01  0.66542E-01    4       245
     66  0.20366629E+01  0.66542E-01    3       248
     67  0.21231670E+01  0.86504E-01    4       252
     68  0.22096711E+01  0.86504E-01    4       256
     69  0.22961752E+01  0.86504E-01    4       260
     70  0.23826793E+01  0.86504E-01    4       264
     71  0.24691834E+01  0.86504E-01    4       268
     72  0.25556875E+01  0.86504E-01    4       272
     73  0.26421916E+01  0.86504E-01    4       276
     74  0.27286957E+01  0.86504E-01    4       280
     75  0.28151998E+01  0.86504E-01    4       284
     76  0.29017039E+01  0.86504E-01    3       287
     77  0.30141593E+01  0.11246E+00    4       291
     78  0.31266146E+01  0.11246E+00    4       295
     79  0.32390700E+01  0.11246E+00    4       299
     80  0.33515253E+01  0.11246E+00    4       303
     81  0.34639806E+01  0.11246E+00    4       307
     82  0.35764360E+01  0.11246E+00    4       311
     83  0.36888913E+01  0.11246E+00    4       315
     84  0.38013467E+01  0.11246E+00    4       319
     85  0.39138020E+01  0.11246E+00    4       323
     86  0.40224218E+01  0.10862E+00    4       327
     87  0.41310416E+01  0.10862E+00    4       331
     88  0.42396614E+01  0.10862E+00    4       335
     89  0.43482812E+01  0.10862E+00    4       339
     90  0.44569010E+01  0.10862E+00    4       343
     91  0.45655208E+01  0.10862E+00    4       347
     92  0.46741406E+01  0.10862E+00    4       351
     93  0.47827604E+01  0.10862E+00    4       355
     94  0.48913802E+01  0.10862E+00    4       359
     95  0.50000000E+01  0.10862E+00    3       362
     96  0.51461919E+01  0.14619E+00    4       366
     97  0.52923839E+01  0.14619E+00    4       370
     98  0.54385758E+01  0.14619E+00    4       374
     99  0.55847678E+01  0.14619E+00    4       378
    100  0.57309597E+01  0.14619E+00    4       382
    101  0.58771516E+01  0.14619E+00    4       386
    102  0.60233436E+01  0.14619E+00    4       390
    103  0.61695355E+01  0.14619E+00    4       394
    104  0.63157275E+01  0.14619E+00    4       398
    105  0.64619194E+01  0.14619E+00    4       402
    106  0.66081113E+01  0.14619E+00    4       406
    107  0.67543033E+01  0.14619E+00    4       410
    108  0.69004952E+01  0.14619E+00    4       414
    109  0.70466872E+01  0.14619E+00    4       418
    110  0.71928791E+01  0.14619E+00    4       422
    111  0.73390710E+01  0.14619E+00    4       426
    112  0.74852630E+01  0.14619E+00    4       430
    113  0.76314549E+01  0.14619E+00    4       434
    114  0.77776469E+01  0.14619E+00    4       438
    115  0.79238388E+01  0.14619E+00    4       442
    116  0.80700307E+01  0.14619E+00    4       446
    117  0.82162227E+01  0.14619E+00    4       450
    118  0.83624146E+01  0.14619E+00    4       454
    119  0.85086066E+01  0.14619E+00    4       458
    120  0.86547985E+01  0.14619E+00    4       462
    121  0.88009904E+01  0.14619E+00    4       466
    122  0.89471824E+01  0.14619E+00    4       470
    123  0.90933743E+01  0.14619E+00    4       474
    124  0.92395663E+01  0.14619E+00    4       478
    125  0.93857582E+01  0.14619E+00    4       482
    126  0.95319501E+01  0.14619E+00    4       486
    127  0.96781421E+01  0.14619E+00    4       490
    128  0.98243340E+01  0.14619E+00    4       494
    129  0.99705260E+01  0.14619E+00    4       498
    130  0.10116718E+02  0.14619E+00    4       502
    131  0.10262910E+02  0.14619E+00    4       506
    132  0.10409102E+02  0.14619E+00    4       510
    133  0.10555294E+02  0.14619E+00    4       514
    134  0.10701486E+02  0.14619E+00    4       518
    135  0.10847678E+02  0.14619E+00    4       522
    136  0.10993870E+02  0.14619E+00    4       526
    137  0.11140061E+02  0.14619E+00    3       529
    138  0.11330111E+02  0.19005E+00    4       533
    139  0.11520160E+02  0.19005E+00    4       537
    140  0.11710210E+02  0.19005E+00    4       541
    141  0.11900260E+02  0.19005E+00    4       545
    142  0.12090309E+02  0.19005E+00    4       549
    143  0.12280359E+02  0.19005E+00    4       553
    144  0.12470408E+02  0.19005E+00    4       557
    145  0.12660458E+02  0.19005E+00    4       561
    146  0.12850507E+02  0.19005E+00    4       565
    147  0.13040557E+02  0.19005E+00    4       569
    148  0.13236501E+02  0.19594E+00    4       573
    149  0.13432445E+02  0.19594E+00    4       577
    150  0.13628390E+02  0.19594E+00    4       581
    151  0.13824334E+02  0.19594E+00    4       585
    152  0.14020278E+02  0.19594E+00    4       589
    153  0.14216223E+02  0.19594E+00    4       593
    154  0.14412167E+02  0.19594E+00    4       597
    155  0.14608111E+02  0.19594E+00    4       601
    156  0.14804056E+02  0.19594E+00    4       605
    157  0.15000000E+02  0.19594E+00    4       609
    158  0.15190050E+02  0.19005E+00    4       613
    159  0.15380099E+02  0.19005E+00    4       617
    160  0.15570149E+02  0.19005E+00    4       621
    161  0.15760198E+02  0.19005E+00    4       625
    162  0.15950248E+02  0.19005E+00    4       629
    163  0.16140297E+02  0.19005E+00    4       633
    164  0.16330347E+02  0.19005E+00    4       637
    165  0.16520396E+02  0.19005E+00    4       641
    166  0.16710446E+02  0.19005E+00    4       645
    167  0.16900495E+02  0.19005E+00    4       649
    168  0.17090545E+02  0.19005E+00    4       653
    169  0.17280594E+02  0.19005E+00    4       657
    170  0.17470644E+02  0.19005E+00    4       661
    171  0.17660693E+02  0.19005E+00    4       665
    172  0.17850743E+02  0.19005E+00    4       669
    173  0.18040792E+02  0.19005E+00    4       673
    174  0.18230842E+02  0.19005E+00    4       677
    175  0.18420891E+02  0.19005E+00    4       681
    176  0.18610941E+02  0.19005E+00    4       685
    177  0.18800990E+02  0.19005E+00    4       689
    178  0.18991040E+02  0.19005E+00    3       692
    179  0.19238104E+02  0.24706E+00    4       696
    180  0.19485169E+02  0.24706E+00    4       700
    181  0.19732233E+02  0.24706E+00    4       704
    182  0.19979297E+02  0.24706E+00    4       708
    183  0.20226362E+02  0.24706E+00    4       712
    184  0.20473426E+02  0.24706E+00    4       716
    185  0.20720490E+02  0.24706E+00    4       720
    186  0.20967555E+02  0.24706E+00    4       724
    187  0.21214619E+02  0.24706E+00    4       728
    188  0.21461683E+02  0.24706E+00    4       732
    189  0.21708748E+02  0.24706E+00    4       736
    190  0.21955812E+02  0.24706E+00    4       740
    191  0.22202876E+02  0.24706E+00    4       744
    192  0.22449941E+02  0.24706E+00    4       748
    193  0.22697005E+02  0.24706E+00    4       752
    194  0.22944069E+02  0.24706E+00    4       756
    195  0.23191134E+02  0.24706E+00    4       760
    196  0.23438198E+02  0.24706E+00    4       764
    197  0.23685262E+02  0.24706E+00    4       768
    198  0.23932327E+02  0.24706E+00    4       772
    199  0.24179391E+02  0.24706E+00    4       776
    200  0.24426456E+02  0.24706E+00    4       780
    201  0.24673520E+02  0.24706E+00    4       784
    202  0.24920584E+02  0.24706E+00    4       788
    203  0.25167649E+02  0.24706E+00    4       792
    204  0.25414713E+02  0.24706E+00    4       796
    205  0.25661777E+02  0.24706E+00    4       800
    206  0.25908842E+02  0.24706E+00    4       804
    207  0.26155906E+02  0.24706E+00    4       808
    208  0.26402970E+02  0.24706E+00    4       812
    209  0.26650035E+02  0.24706E+00    4       816
    210  0.26897099E+02  0.24706E+00    4       820
    211  0.27144163E+02  0.24706E+00    4       824
    212  0.27391228E+02  0.24706E+00    4       828
    213  0.27638292E+02  0.24706E+00    4       832
    214  0.27874463E+02  0.23617E+00    4       836
    215  0.28110634E+02  0.23617E+00    4       840
    216  0.28346805E+02  0.23617E+00    4       844
    217  0.28582975E+02  0.23617E+00    3       847
    218  0.28937231E+02  0.35426E+00    4       851
    219  0.29291488E+02  0.35426E+00    4       855
    220  0.29645744E+02  0.35426E+00    4       859
    221  0.30000000E+02  0.35426E+00    4       863
    222  0.30321184E+02  0.32118E+00    4       867
    223  0.30642367E+02  0.32118E+00    4       871
    224  0.30963551E+02  0.32118E+00    4       875
    225  0.31284735E+02  0.32118E+00    4       879
    226  0.31605918E+02  0.32118E+00    4       883
    227  0.31927102E+02  0.32118E+00    4       887
    228  0.32248286E+02  0.32118E+00    4       891
    229  0.32569469E+02  0.32118E+00    4       895
    230  0.32890653E+02  0.32118E+00    4       899
    231  0.33211837E+02  0.32118E+00    4       903
    232  0.33533020E+02  0.32118E+00    4       907
    233  0.33854204E+02  0.32118E+00    4       911
    234  0.34175387E+02  0.32118E+00    4       915
    235  0.34496571E+02  0.32118E+00    4       919
    236  0.34817755E+02  0.32118E+00    4       923
    237  0.35138938E+02  0.32118E+00    4       927
    238  0.35460122E+02  0.32118E+00    4       931
    239  0.35781306E+02  0.32118E+00    4       935
    240  0.36102489E+02  0.32118E+00    4       939
    241  0.36423673E+02  0.32118E+00    4       943
    242  0.36744857E+02  0.32118E+00    4       947
    243  0.37066040E+02  0.32118E+00    4       951
    244  0.37387224E+02  0.32118E+00    4       955
    245  0.37708408E+02  0.32118E+00    4       959
    246  0.38029591E+02  0.32118E+00    4       963
    247  0.38350775E+02  0.32118E+00    4       967
    248  0.38671959E+02  0.32118E+00    4       971
    249  0.38993142E+02  0.32118E+00    4       975
    250  0.39314326E+02  0.32118E+00    4       979
    251  0.39635510E+02  0.32118E+00    4       983
    252  0.39956693E+02  0.32118E+00    4       987
    253  0.40277877E+02  0.32118E+00    4       991
    254  0.40599060E+02  0.32118E+00    4       995
    255  0.40920244E+02  0.32118E+00    4       999
    256  0.41241428E+02  0.32118E+00    4      1003
    257  0.41562611E+02  0.32118E+00    4      1007
    258  0.41883795E+02  0.32118E+00    4      1011
    259  0.42204979E+02  0.32118E+00    4      1015
    260  0.42526162E+02  0.32118E+00    4      1019
    261  0.42847346E+02  0.32118E+00    4      1023
    262  0.43168530E+02  0.32118E+00    4      1027
    263  0.43489713E+02  0.32118E+00    4      1031
    264  0.43810897E+02  0.32118E+00    4      1035
    265  0.44132081E+02  0.32118E+00    4      1039
    266  0.44453264E+02  0.32118E+00    4      1043
    267  0.44774448E+02  0.32118E+00    4      1047
    268  0.45095632E+02  0.32118E+00    4      1051
    269  0.45416815E+02  0.32118E+00    4      1055
    270  0.45737999E+02  0.32118E+00    4      1059
    271  0.46059183E+02  0.32118E+00    4      1063
    272  0.46380366E+02  0.32118E+00    4      1067
    273  0.46701550E+02  0.32118E+00    4      1071
    274  0.47022734E+02  0.32118E+00    4      1075
    275  0.47343917E+02  0.32118E+00    4      1079
    276  0.47665101E+02  0.32118E+00    4      1083
    277  0.47986284E+02  0.32118E+00    4      1087
    278  0.48307468E+02  0.32118E+00    4      1091
    279  0.48628652E+02  0.32118E+00    3      1094
    280  0.49046191E+02  0.41754E+00    4      1098
    281  0.49463729E+02  0.41754E+00    3      1101
    282  0.50006530E+02  0.54280E+00    4      1105
    283  0.50549330E+02  0.54280E+00    3      1108
    284  0.51254970E+02  0.70564E+00    4      1112
    285  0.51960611E+02  0.70564E+00    3      1115
    286  0.52853876E+02  0.89327E+00    4      1119
    287  0.53747142E+02  0.89327E+00    3      1122
    288  0.54997713E+02  0.12506E+01    4      1126
