 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -20.8        0.0      -20.6        0.0        0.0        0.0      -21.8        0.0        0.0        0.0
         0.0020      -20.8        0.0      -20.3        0.0        0.0        0.0      -22.4        0.0        0.0        0.0
         0.0030      -20.8        0.0      -20.1        0.0        0.0        0.0      -22.9        0.0        0.0        0.0
         0.0043      -20.8        0.0      -19.8        0.0        0.0        0.0      -23.4        0.0        0.0        0.0
         0.0060      -20.8        0.0      -19.4        0.0        0.0        0.0      -23.9        0.0        0.0        0.0
         0.0082      -20.9        0.0      -19.0        0.0        0.0        0.0      -24.4        0.0        0.0        0.0
         0.0110      -20.9        0.0      -18.4        0.0        0.0        0.0      -24.9        0.0        0.0        0.0
         0.0148      -20.9        0.0      -17.8        0.0        0.0        0.0      -25.5        0.0        0.0        0.0
         0.0196      -20.9        0.0      -17.2        0.0        0.0        0.0      -26.0        0.0        0.0        0.0
         0.0259      -20.9        0.0      -16.4        0.0        0.0        0.0      -26.6        0.0        0.0        0.0
         0.0340      -21.0        0.0      -15.7        0.0        0.0        0.0      -27.2        0.0        0.0        0.0
         0.0446      -21.0        0.0      -15.0        0.0        0.0        0.0      -27.8        0.0        0.0        0.0
         0.0584      -21.1        0.0      -14.4        0.0        0.0        0.0      -28.4        0.0        0.0        0.0
         0.0722      -21.2        0.0      -14.0        0.0        0.0        0.0      -28.9        0.0        0.0        0.0
         0.0860      -21.3        0.0      -13.7        0.0        0.0        0.0      -29.3        0.0        0.0        0.0
         0.0998      -21.4        0.0      -13.5        0.0        0.0        0.0      -29.6        0.0        0.0        0.0
         0.1177      -21.5        0.0      -13.3        0.0        0.0        0.0      -30.0        0.0        0.0        0.0
         0.1356      -21.6        0.0      -13.1        0.0        0.0        0.0      -30.4        0.0        0.0        0.0
         0.1535      -21.7        0.0      -13.0        0.0        0.0        0.0      -30.7        0.0        0.0        0.0
         0.1714      -21.8        0.0      -12.9        0.0        0.0        0.0      -30.9        0.0        0.0        0.0
         0.1947      -22.0        0.0      -12.8        0.0        0.0        0.0      -31.2        0.0        0.0        0.0
         0.2180      -22.1        0.0      -12.7        0.0        0.0        0.0      -31.5        0.0        0.0        0.0
         0.2413      -22.2        0.0      -12.6        0.0        0.0        0.0      -31.7        0.0        0.0        0.0
         0.2646      -22.4        0.0      -12.6        0.0        0.0        0.0      -32.0        0.0        0.0        0.0
         0.2879      -22.5        0.0      -12.5        0.0        0.0        0.0      -32.2        0.0        0.0        0.0
         0.3112      -22.7        0.0      -12.5        0.0        0.0        0.0      -32.4        0.0        0.0        0.0
         0.3345      -22.8        0.0      -12.4        0.0        0.0        0.0      -32.5        0.0        0.0        0.0
         0.3648      -23.0        0.0      -12.4        0.0        0.0        0.0      -32.8        0.0        0.0        0.0
         0.3951      -23.1        0.0      -12.3        0.0        0.0        0.0      -33.0        0.0        0.0        0.0
         0.4254      -23.3        0.0      -12.3        0.0        0.0        0.0      -33.2        0.0        0.0        0.0
         0.4557      -23.5        0.0      -12.2        0.0        0.0        0.0      -33.4        0.0        0.0        0.0
         0.4860      -23.6        0.0      -12.2        0.0        0.0        0.0      -33.6        0.0        0.0        0.0
         0.5163      -23.8        0.0      -12.1        0.0        0.0        0.0      -33.7        0.0        0.0        0.0
         0.5465      -23.9        0.0      -12.1        0.0        0.0        0.0      -33.9        0.0        0.0        0.0
         0.5768      -24.1        0.0      -12.0        0.0        0.0        0.0      -34.1        0.0        0.0        0.0
         0.6071      -24.2        0.0      -12.0        0.0        0.0        0.0      -34.2        0.0        0.0        0.0
         0.6374      -24.4        0.0      -11.9        0.0        0.0        0.0      -34.4        0.0        0.0        0.0
         0.6677      -24.5        0.0      -11.9        0.0        0.0        0.0      -34.5        0.0        0.0        0.0
         0.6980      -24.6        0.0      -11.9        0.0        0.0        0.0      -34.7        0.0        0.0        0.0
         0.7283      -24.8        0.0      -11.8        0.0        0.0        0.0      -34.8        0.0        0.0        0.0
         0.7676      -24.9        0.0      -11.8        0.0        0.0        0.0      -35.0        0.0        0.0        0.0
         0.8070      -25.1        0.0      -11.7        0.0        0.0        0.0      -35.2        0.0        0.0        0.0
         0.8464      -25.2        0.0      -11.7        0.0        0.0        0.0      -35.4        0.0        0.0        0.0
         0.8858      -25.4        0.0      -11.7        0.0        0.0        0.0      -35.5        0.0        0.0        0.0
         0.9251      -25.5        0.0      -11.6        0.0        0.0        0.0      -35.7        0.0        0.0        0.0
         0.9645      -25.7        0.0      -11.6        0.0        0.0        0.0      -35.9        0.0        0.0        0.0
         1.0039      -25.8        0.0      -11.5        0.0        0.0        0.0      -36.0        0.0        0.0        0.0
         1.0433      -25.9        0.0      -11.5        0.0        0.0        0.0      -36.2        0.0        0.0        0.0
         1.0826      -26.1        0.0      -11.4        0.0        0.0        0.0      -36.3        0.0        0.0        0.0
         1.1220      -26.2        0.0      -11.4        0.0        0.0        0.0      -36.5        0.0        0.0        0.0
         1.1614      -26.3        0.0      -11.4        0.0        0.0        0.0      -36.6        0.0        0.0        0.0
         1.2126      -26.5        0.0      -11.3        0.0        0.0        0.0      -36.8        0.0        0.0        0.0
         1.2638      -26.6        0.0      -11.3        0.0        0.0        0.0      -37.0        0.0        0.0        0.0
         1.3149      -26.7        0.0      -11.2        0.0        0.0        0.0      -37.1        0.0        0.0        0.0
         1.3661      -26.9        0.0      -11.2        0.0        0.0        0.0      -37.3        0.0        0.0        0.0
         1.4173      -27.0        0.0      -11.1        0.0        0.0        0.0      -37.5        0.0        0.0        0.0
         1.4685      -27.1        0.0      -11.1        0.0        0.0        0.0      -37.7        0.0        0.0        0.0
         1.5197      -27.3        0.0      -11.0        0.0        0.0        0.0      -37.8        0.0        0.0        0.0
         1.5709      -27.4        0.0      -11.0        0.0        0.0        0.0      -38.0        0.0        0.0        0.0
         1.6374      -27.5        0.0      -10.9        0.0        0.0        0.0      -38.2        0.0        0.0        0.0
         1.7040      -27.7        0.0      -10.9        0.0        0.0        0.0      -38.4        0.0        0.0        0.0
         1.7705      -27.8        0.0      -10.8        0.0        0.0        0.0      -38.6        0.0        0.0        0.0
         1.8370      -27.9        0.0      -10.8        0.0        0.0        0.0      -38.7        0.0        0.0        0.0
         1.9036      -28.1        0.0      -10.7        0.0        0.0        0.0      -38.9        0.0        0.0        0.0
         1.9701      -28.2        0.0      -10.7        0.0        0.0        0.0      -39.1        0.0        0.0        0.0
         2.0367      -28.3        0.0      -10.6        0.0        0.0        0.0      -39.3        0.0        0.0        0.0
         2.1232      -28.4        0.0      -10.6        0.0        0.0        0.0      -39.5        0.0        0.0        0.0
         2.2097      -28.6        0.0      -10.5        0.0        0.0        0.0      -39.7        0.0        0.0        0.0
         2.2962      -28.7        0.0      -10.4        0.0        0.0        0.0      -39.9        0.0        0.0        0.0
         2.3827      -28.8        0.0      -10.4        0.0        0.0        0.0      -40.1        0.0        0.0        0.0
         2.4692      -28.9        0.0      -10.3        0.0        0.0        0.0      -40.3        0.0        0.0        0.0
         2.5557      -29.0        0.0      -10.3        0.0        0.0        0.0      -40.5        0.0        0.0        0.0
