

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    3         3
      2  0.20000001E-02  0.10000E-02    2         5
      3  0.33000001E-02  0.13000E-02    3         8
      4  0.49900000E-02  0.16900E-02    3        11
      5  0.71870000E-02  0.21970E-02    3        14
      6  0.10043100E-01  0.28561E-02    3        17
      7  0.13756029E-01  0.37129E-02    3        20
      8  0.18582838E-01  0.48268E-02    3        23
      9  0.24857688E-01  0.62749E-02    3        26
     10  0.33014994E-01  0.81573E-02    3        29
     11  0.43619491E-01  0.10604E-01    3        32
     12  0.57405336E-01  0.13786E-01    4        36
     13  0.71191182E-01  0.13786E-01    4        40
     14  0.84977027E-01  0.13786E-01    4        44
     15  0.98762873E-01  0.13786E-01    4        48
     16  0.11254872E+00  0.13786E-01    4        52
     17  0.12633456E+00  0.13786E-01    4        56
     18  0.14012041E+00  0.13786E-01    4        60
     19  0.15390626E+00  0.13786E-01    3        63
     20  0.17182785E+00  0.17922E-01    4        67
     21  0.18974945E+00  0.17922E-01    4        71
     22  0.20767105E+00  0.17922E-01    4        75
     23  0.22559265E+00  0.17922E-01    4        79
     24  0.24351425E+00  0.17922E-01    4        83
     25  0.26143585E+00  0.17922E-01    3        86
     26  0.28473392E+00  0.23298E-01    4        90
     27  0.30803200E+00  0.23298E-01    4        94
     28  0.33133008E+00  0.23298E-01    4        98
     29  0.35462816E+00  0.23298E-01    4       102
     30  0.37792623E+00  0.23298E-01    4       106
     31  0.40122431E+00  0.23298E-01    4       110
     32  0.42452239E+00  0.23298E-01    4       114
     33  0.44782047E+00  0.23298E-01    3       117
     34  0.47810796E+00  0.30287E-01    4       121
     35  0.50839546E+00  0.30287E-01    4       125
     36  0.53868296E+00  0.30287E-01    4       129
     37  0.56897046E+00  0.30287E-01    4       133
     38  0.59925796E+00  0.30287E-01    4       137
     39  0.62954546E+00  0.30287E-01    4       141
     40  0.65983296E+00  0.30287E-01    4       145
     41  0.69012045E+00  0.30287E-01    4       149
     42  0.72040795E+00  0.30287E-01    4       153
