 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:   6. 2.2018    Time:  15: 0:30
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = min  , M = mmol 
 

 Boundary length [L] associated with different types of boundary conditions

 Variable head or flux 1 boundary: 0.6916703E+01
 Atmospheric boundary:             0.6422225E+02
 Free or deep drainage boundary:   0.7000001E+02


 Time:           15.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

    1      1     70.0   -125.0   -6 -0.17607E-01  0.95583E-02     -10.21  0.210     20.00
    2      2      0.0   -125.0   -6 -0.17607E-01  0.95583E-02     -10.21  0.210     20.00
    3      3      0.0      0.0   -4  0.00000E+00  0.00000E+00     -12.86  0.167     20.00
    4      4     70.0      0.0   -4  0.00000E+00  0.00000E+00     -12.81  0.168     20.00
    5      5     36.0      0.0   -3  0.83114E+00 -0.42400E+00      -1.18  0.428     20.00
    6      6     35.0     -1.0   -3  0.60496E-01 -0.42400E+00      -2.29  0.418     20.00
    7      7     34.0      0.0   -3  0.83114E+00 -0.42400E+00      -1.23  0.428     20.00
    8      8     66.3   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
    9      9     62.6   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   10     10     58.9   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   11     11     55.3   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   12     12     51.6   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   13     13     47.9   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   14     14     44.2   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   15     15     40.5   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   16     16     36.8   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   17     17     33.2   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   18     18     29.5   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   19     19     25.8   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   20     20     22.1   -125.0   -6 -0.35215E-01  0.95584E-02     -10.21  0.210     20.00
   21     21     18.4   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   22     22     14.7   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   23     23     11.1   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   24     24      7.4   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   25     25      3.7   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   26     94     36.0     -0.1   -3  0.60495E-01 -0.42400E+00      -1.34  0.427     20.00
   27     95     36.0     -0.3   -3  0.60495E-01 -0.42400E+00      -1.51  0.426     20.00
   28     96     35.9     -0.4   -3  0.60495E-01 -0.42400E+00      -1.68  0.425     20.00
   29     97     35.8     -0.5   -3  0.60496E-01 -0.42400E+00      -1.83  0.423     20.00
   30     98     35.8     -0.7   -3  0.60495E-01 -0.42400E+00      -1.96  0.422     20.00
   31     99     35.7     -0.8   -3  0.60495E-01 -0.42400E+00      -2.06  0.421     20.00
   32    100     35.5     -0.8   -3  0.60496E-01 -0.42400E+00      -2.15  0.420     20.00
   33    101     35.4     -0.9   -3  0.60495E-01 -0.42400E+00      -2.21  0.419     20.00
   34    102     35.3     -1.0   -3  0.60495E-01 -0.42400E+00      -2.25  0.418     20.00
   35    103     35.1     -1.0   -3  0.60496E-01 -0.42400E+00      -2.28  0.418     20.00
   36    104     34.9     -1.0   -3  0.60496E-01 -0.42400E+00      -2.28  0.418     20.00
   37    105     34.7     -1.0   -3  0.60495E-01 -0.42400E+00      -2.25  0.418     20.00
   38    106     34.6     -0.9   -3  0.60495E-01 -0.42400E+00      -2.21  0.419     20.00
   39    107     34.5     -0.8   -3  0.60496E-01 -0.42400E+00      -2.15  0.420     20.00
   40    108     34.3     -0.8   -3  0.60495E-01 -0.42400E+00      -2.06  0.421     20.00
   41    109     34.2     -0.7   -3  0.60495E-01 -0.42400E+00      -1.96  0.422     20.00
   42    110     34.2     -0.5   -3  0.60496E-01 -0.42400E+00      -1.83  0.423     20.00
   43    111     34.1     -0.4   -3  0.60495E-01 -0.42400E+00      -1.69  0.425     20.00
   44    112     34.0     -0.3   -3  0.60495E-01 -0.42400E+00      -1.53  0.426     20.00
