

   TLevel      Time           dt       Iter    ItCum

      1  0.10000000E-02  0.100000E-02    3        3
      2  0.20000001E-02  0.100000E-02    3        6
      3  0.33000001E-02  0.130000E-02    3        9
      4  0.49900000E-02  0.169000E-02    3       12
      5  0.71870000E-02  0.219700E-02    3       15
      6  0.10043100E-01  0.285610E-02    3       18
      7  0.13756029E-01  0.371293E-02    3       21
      8  0.18582838E-01  0.482681E-02    3       24
      9  0.24857688E-01  0.627485E-02    3       27
     10  0.33014994E-01  0.815731E-02    3       30
     11  0.43619491E-01  0.106045E-01    4       34
     12  0.54223988E-01  0.106045E-01    3       37
     13  0.68009833E-01  0.137858E-01    4       41
     14  0.81795679E-01  0.137858E-01    3       44
     15  0.99717278E-01  0.179216E-01    4       48
     16  0.11763888E+00  0.179216E-01    4       52
     17  0.13556047E+00  0.179216E-01    3       55
     18  0.15885855E+00  0.232981E-01    3       58
     19  0.18914605E+00  0.302875E-01    4       62
     20  0.21943355E+00  0.302875E-01    4       66
     21  0.24972105E+00  0.302875E-01    4       70
     22  0.28000855E+00  0.302875E-01    4       74
     23  0.31029605E+00  0.302875E-01    4       78
     24  0.34058354E+00  0.302875E-01    3       81
     25  0.37995729E+00  0.393737E-01    4       85
     26  0.41933104E+00  0.393737E-01    4       89
     27  0.45870479E+00  0.393737E-01    4       93
     28  0.49807854E+00  0.393737E-01    4       97
     29  0.53745228E+00  0.393737E-01    4      101
     30  0.57682603E+00  0.393737E-01    3      104
     31  0.62801190E+00  0.511859E-01    4      108
     32  0.67919777E+00  0.511859E-01    4      112
     33  0.73038364E+00  0.511859E-01    3      115
     34  0.79692526E+00  0.665416E-01    4      119
     35  0.86346689E+00  0.665416E-01    4      123
     36  0.93000852E+00  0.665416E-01    4      127
     37  0.99655015E+00  0.665416E-01    3      130
     38  0.10830543E+01  0.865041E-01    4      134
     39  0.11695584E+01  0.865041E-01    4      138
     40  0.12560625E+01  0.865041E-01    4      142
     41  0.13425666E+01  0.865041E-01    4      146
     42  0.14290707E+01  0.865041E-01    3      149
     43  0.15415260E+01  0.112455E+00    4      153
     44  0.16539814E+01  0.112455E+00    4      157
     45  0.17664367E+01  0.112455E+00    4      161
     46  0.18788920E+01  0.112455E+00    4      165
     47  0.19913474E+01  0.112455E+00    3      168
     48  0.21375393E+01  0.146192E+00    4      172
     49  0.22837313E+01  0.146192E+00    4      176
     50  0.24299232E+01  0.146192E+00    4      180
     51  0.25761151E+01  0.146192E+00    4      184
     52  0.27223071E+01  0.146192E+00    3      187
     53  0.29123566E+01  0.190050E+00    4      191
     54  0.31024061E+01  0.190050E+00    4      195
     55  0.32924556E+01  0.190050E+00    4      199
     56  0.34825051E+01  0.190050E+00    4      203
     57  0.36725547E+01  0.190050E+00    4      207
     58  0.38626042E+01  0.190050E+00    3      210
     59  0.41096685E+01  0.247064E+00    4      214
     60  0.43567329E+01  0.247064E+00    4      218
     61  0.46037972E+01  0.247064E+00    4      222
     62  0.48508616E+01  0.247064E+00    4      226
     63  0.50979259E+01  0.247064E+00    3      229
     64  0.54191096E+01  0.321184E+00    4      233
     65  0.57402932E+01  0.321184E+00    4      237
     66  0.60614769E+01  0.321184E+00    4      241
     67  0.63826605E+01  0.321184E+00    4      245
     68  0.67038442E+01  0.321184E+00    3      248
     69  0.71213829E+01  0.417539E+00    4      252
     70  0.75389217E+01  0.417539E+00    4      256
     71  0.79564604E+01  0.417539E+00    4      260
     72  0.83739991E+01  0.417539E+00    4      264
     73  0.87915378E+01  0.417539E+00    4      268
     74  0.92090766E+01  0.417539E+00    3      271
     75  0.97518769E+01  0.542800E+00    4      275
     76  0.10276689E+02  0.524812E+00    4      279
     77  0.10801502E+02  0.524812E+00    4      283
     78  0.11326314E+02  0.524812E+00    3      286
     79  0.12061051E+02  0.734737E+00    4      290
     80  0.12795788E+02  0.734737E+00    4      294
     81  0.13530526E+02  0.734737E+00    4      298
     82  0.14265263E+02  0.734737E+00    4      302
     83  0.15000000E+02  0.734737E+00    4      306
     84  0.15705640E+02  0.705640E+00    4      310
     85  0.16411281E+02  0.705640E+00    4      314
     86  0.17116921E+02  0.705640E+00    3      317
     87  0.18034254E+02  0.917332E+00    4      321
     88  0.18951586E+02  0.917332E+00    4      325
     89  0.19868919E+02  0.917332E+00    4      329
     90  0.20786251E+02  0.917332E+00    4      333
     91  0.21703583E+02  0.917332E+00    4      337
     92  0.22620916E+02  0.917332E+00    4      341
     93  0.23538248E+02  0.917332E+00    4      345
     94  0.24455581E+02  0.917332E+00    3      348
     95  0.25648113E+02  0.119253E+01    4      352
     96  0.26840645E+02  0.119253E+01    4      356
     97  0.28033177E+02  0.119253E+01    4      360
     98  0.29225710E+02  0.119253E+01    4      364
     99  0.30418242E+02  0.119253E+01    4      368
    100  0.31610774E+02  0.119253E+01    4      372
    101  0.32803306E+02  0.119253E+01    4      376
    102  0.33995838E+02  0.119253E+01    4      380
    103  0.35188371E+02  0.119253E+01    4      384
    104  0.36380903E+02  0.119253E+01    3      387
    105  0.37931194E+02  0.155029E+01    4      391
    106  0.39481486E+02  0.155029E+01    4      395
    107  0.41031778E+02  0.155029E+01    4      399
    108  0.42582070E+02  0.155029E+01    4      403
    109  0.44132362E+02  0.155029E+01    4      407
    110  0.45719125E+02  0.158676E+01    4      411
    111  0.47305889E+02  0.158676E+01    4      415
    112  0.48892653E+02  0.158676E+01    4      419
    113  0.50479417E+02  0.158676E+01    4      423
    114  0.52066181E+02  0.158676E+01    4      427
    115  0.53652945E+02  0.158676E+01    4      431
    116  0.55239708E+02  0.158676E+01    4      435
    117  0.56826472E+02  0.158676E+01    4      439
    118  0.58413236E+02  0.158676E+01    4      443
    119  0.60000000E+02  0.158676E+01    4      447
    120  0.61550292E+02  0.155029E+01    4      451
    121  0.63100584E+02  0.155029E+01    3      454
    122  0.65115963E+02  0.201538E+01    4      458
    123  0.67131342E+02  0.201538E+01    4      462
    124  0.69146721E+02  0.201538E+01    4      466
    125  0.71162100E+02  0.201538E+01    4      470
    126  0.73177480E+02  0.201538E+01    4      474
    127  0.75192859E+02  0.201538E+01    4      478
    128  0.77208238E+02  0.201538E+01    4      482
    129  0.79223617E+02  0.201538E+01    4      486
    130  0.81238996E+02  0.201538E+01    4      490
    131  0.83254376E+02  0.201538E+01    4      494
    132  0.85269755E+02  0.201538E+01    4      498
    133  0.87285134E+02  0.201538E+01    3      501
    134  0.89905127E+02  0.261999E+01    4      505
    135  0.92525119E+02  0.261999E+01    4      509
    136  0.95272607E+02  0.274749E+01    4      513
    137  0.98020095E+02  0.274749E+01    4      517
    138  0.10076758E+03  0.274749E+01    4      521
    139  0.10351507E+03  0.274749E+01    4      525
    140  0.10626256E+03  0.274749E+01    4      529
    141  0.10901005E+03  0.274749E+01    4      533
    142  0.11175754E+03  0.274749E+01    4      537
    143  0.11450502E+03  0.274749E+01    4      541
    144  0.11725251E+03  0.274749E+01    4      545
    145  0.12000000E+03  0.274749E+01    4      549
    146  0.12261999E+03  0.261999E+01    4      553
    147  0.12523999E+03  0.261999E+01    4      557
    148  0.12785998E+03  0.261999E+01    4      561
    149  0.13047997E+03  0.261999E+01    4      565
    150  0.13309996E+03  0.261999E+01    4      569
    151  0.13571996E+03  0.261999E+01    3      572
    152  0.13912595E+03  0.340599E+01    4      576
    153  0.14253194E+03  0.340599E+01    4      580
    154  0.14593793E+03  0.340599E+01    4      584
    155  0.14934413E+03  0.340621E+01    4      588
    156  0.15275034E+03  0.340621E+01    4      592
    157  0.15615655E+03  0.340621E+01    4      596
    158  0.15956276E+03  0.340621E+01    4      600
