 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

        0.0010      -10.2        0.0       -9.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0020      -10.2        0.0       -9.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0033      -10.2        0.0       -9.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0050      -10.2        0.0       -9.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0072      -10.2        0.0       -9.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0100      -10.2        0.0       -9.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0138      -10.2        0.0       -8.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0186      -10.2        0.0       -8.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0249      -10.2        0.0       -8.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0330      -10.2        0.0       -7.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0436      -10.2        0.0       -7.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0542      -10.2        0.0       -7.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0680      -10.2        0.0       -6.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0818      -10.3        0.0       -6.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.0997      -10.3        0.0       -5.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.1176      -10.3        0.0       -5.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.1356      -10.3        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.1589      -10.3        0.0       -4.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.1891      -10.3        0.0       -4.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.2194      -10.4        0.0       -4.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.2497      -10.4        0.0       -4.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.2800      -10.4        0.0       -3.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.3103      -10.4        0.0       -3.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.3406      -10.5        0.0       -3.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.3800      -10.5        0.0       -3.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.4193      -10.5        0.0       -3.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.4587      -10.5        0.0       -2.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.4981      -10.5        0.0       -2.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.5375      -10.6        0.0       -2.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.5768      -10.6        0.0       -2.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.6280      -10.6        0.0       -2.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.6792      -10.6        0.0       -2.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.7304      -10.6        0.0       -2.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.7969      -10.6        0.0       -2.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.8635      -10.7        0.0       -2.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.9300      -10.7        0.0       -2.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        0.9966      -10.7        0.0       -2.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.0831      -10.7        0.0       -2.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.1696      -10.7        0.0       -2.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.2561      -10.7        0.0       -1.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.3426      -10.7        0.0       -1.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.4291      -10.7        0.0       -1.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.5415      -10.7        0.0       -1.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.6540      -10.8        0.0       -1.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.7664      -10.8        0.0       -1.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.8789      -10.8        0.0       -1.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        1.9913      -10.8        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.1375      -10.8        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.2837      -10.8        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.4299      -10.8        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.5761      -10.9        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.7223      -10.9        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        2.9124      -10.9        0.0       -1.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        3.1024      -10.9        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        3.2925      -10.9        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        3.4825      -11.0        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        3.6726      -11.0        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        3.8626      -11.0        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        4.1097      -11.1        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        4.3567      -11.1        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        4.6038      -11.1        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        4.8509      -11.1        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        5.0979      -11.2        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        5.4191      -11.2        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        5.7403      -11.2        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        6.0615      -11.3        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        6.3827      -11.3        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        6.7038      -11.3        0.0       -1.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        7.1214      -11.3        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        7.5389      -11.4        0.0       -1.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        7.9565      -11.4        0.0       -1.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
        8.3740      -11.4        0.0       -1.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
