

     TLevel     Time          dt      Iter    ItCum

      1  0.10000000E-02  0.10000E-02    3         3
      2  0.20000001E-02  0.10000E-02    3         6
      3  0.33000001E-02  0.13000E-02    3         9
      4  0.49900000E-02  0.16900E-02    3        12
      5  0.71870000E-02  0.21970E-02    3        15
      6  0.10043100E-01  0.28561E-02    3        18
      7  0.13756029E-01  0.37129E-02    3        21
      8  0.18582838E-01  0.48268E-02    4        25
      9  0.23409646E-01  0.48268E-02    3        28
     10  0.29684497E-01  0.62749E-02    4        32
     11  0.35959347E-01  0.62749E-02    3        35
     12  0.44116653E-01  0.81573E-02    3        38
     13  0.54721150E-01  0.10604E-01    3        41
     14  0.68506995E-01  0.13786E-01    4        45
     15  0.82292841E-01  0.13786E-01    4        49
     16  0.96078686E-01  0.13786E-01    4        53
     17  0.10986453E+00  0.13786E-01    4        57
     18  0.12365038E+00  0.13786E-01    3        60
     19  0.14157198E+00  0.17922E-01    4        64
     20  0.15949357E+00  0.17922E-01    4        68
     21  0.17741517E+00  0.17922E-01    4        72
     22  0.19533677E+00  0.17922E-01    3        75
     23  0.21863485E+00  0.23298E-01    4        79
     24  0.24193293E+00  0.23298E-01    3        82
     25  0.27222043E+00  0.30287E-01    4        86
     26  0.30250792E+00  0.30287E-01    4        90
     27  0.33279542E+00  0.30287E-01    4        94
     28  0.36308292E+00  0.30287E-01    3        97
     29  0.40245667E+00  0.39374E-01    4       101
     30  0.44183042E+00  0.39374E-01    4       105
     31  0.48120417E+00  0.39374E-01    3       108
     32  0.53239003E+00  0.51186E-01    4       112
     33  0.58357590E+00  0.51186E-01    4       116
     34  0.63476177E+00  0.51186E-01    4       120
     35  0.68594764E+00  0.51186E-01    3       123
     36  0.75248927E+00  0.66542E-01    4       127
     37  0.81903089E+00  0.66542E-01    4       131
     38  0.88557252E+00  0.66542E-01    4       135
     39  0.95211415E+00  0.66542E-01    3       138
     40  0.10386183E+01  0.86504E-01    4       142
     41  0.11251224E+01  0.86504E-01    4       146
     42  0.12116265E+01  0.86504E-01    4       150
