 FileVersion=0003


        Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
         [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

         0.0010      -10.2        0.0      -10.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0020      -10.2        0.0      -10.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0033      -10.2        0.0       -9.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0050      -10.2        0.0       -9.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0072      -10.2        0.0       -9.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0100      -10.2        0.0       -9.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0138      -10.2        0.0       -9.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0186      -10.2        0.0       -8.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0234      -10.2        0.0       -8.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0297      -10.2        0.0       -8.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0360      -10.2        0.0       -8.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0441      -10.2        0.0       -8.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0547      -10.2        0.0       -8.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0685      -10.2        0.0       -7.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0823      -10.2        0.0       -7.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.0961      -10.2        0.0       -7.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1099      -10.2        0.0       -7.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1237      -10.3        0.0       -7.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1416      -10.3        0.0       -7.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1595      -10.3        0.0       -7.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1774      -10.3        0.0       -7.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.1953      -10.3        0.0       -7.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.2186      -10.3        0.0       -6.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.2419      -10.3        0.0       -6.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.2722      -10.3        0.0       -6.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.3025      -10.3        0.0       -6.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.3328      -10.3        0.0       -6.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.3631      -10.3        0.0       -6.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.4025      -10.3        0.0       -6.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.4418      -10.4        0.0       -6.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.4812      -10.4        0.0       -6.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.5324      -10.4        0.0       -6.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.5836      -10.4        0.0       -6.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.6348      -10.4        0.0       -6.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.6859      -10.4        0.0       -6.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.7525      -10.4        0.0       -6.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.8190      -10.5        0.0       -6.0        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.8856      -10.5        0.0       -5.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         0.9521      -10.5        0.0       -5.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.0386      -10.5        0.0       -5.9        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.1251      -10.6        0.0       -5.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.2116      -10.6        0.0       -5.8        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.2981      -10.6        0.0       -5.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.3846      -10.6        0.0       -5.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.4711      -10.6        0.0       -5.7        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.5836      -10.7        0.0       -5.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.6960      -10.7        0.0       -5.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.8085      -10.7        0.0       -5.6        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         1.9210      -10.7        0.0       -5.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.0672      -10.8        0.0       -5.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.2133      -10.8        0.0       -5.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.3595      -10.8        0.0       -5.5        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.5057      -10.9        0.0       -5.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.6519      -10.9        0.0       -5.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         2.8420      -10.9        0.0       -5.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         3.0320      -11.0        0.0       -5.4        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         3.2221      -11.0        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         3.4121      -11.0        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         3.6022      -11.0        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         3.8492      -11.1        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         4.0963      -11.1        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         4.3434      -11.2        0.0       -5.3        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         4.5904      -11.2        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         4.9116      -11.2        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         5.2328      -11.3        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         5.5540      -11.3        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         5.8752      -11.4        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         6.1963      -11.4        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         6.6139      -11.4        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         7.0314      -11.5        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         7.4490      -11.5        0.0       -5.2        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
         7.8665      -11.6        0.0       -5.1        0.0        0.0        0.0      -10.2        0.0        0.0        0.0
